dataset,frame,pass,variant,milliseconds,baselineMilliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,251,1,threads4,88.362,335.334,8,8,8,0,0,1,1,1,1,1,1,1,52,0,0,0,0,3,3,2,2,2
Mississippi,251,1,threads8,75.118,335.334,8,8,8,0,0,1,1,1,1,1,1,1,52,0,0,0,0,3,3,2,2,2
Mississippi,261,1,baseline,401.076,401.076,7,7,7,0,0,1,1,1,1,1,1,1,67,0,0,0,0,2,2,1,1,1
Mississippi,261,1,serial,240.496,401.076,7,7,7,0,0,1,1,1,1,1,1,1,67,0,0,0,0,2,2,1,1,1
Mississippi,261,1,threads4,95.996,401.076,7,7,7,0,0,1,1,1,1,1,1,1,67,0,0,0,0,2,2,1,1,1
Mississippi,261,1,threads8,86.872,401.076,7,7,7,0,0,1,1,1,1,1,1,1,67,0,0,0,0,2,2,1,1,1
Mississippi,271,1,baseline,364.212,364.212,10,10,10,0,0,1,1,1,1,1,1,1,33,0,0,0,0,3,3,2,2,2
Mississippi,271,1,serial,231.515,364.212,10,10,10,0,0,1,1,1,1,1,1,1,33,0,0,0,0,3,3,2,2,2
Mississippi,271,1,threads4,94.724,364.212,10,10,10,0,0,1,1,1,1,1,1,1,33,0,0,0,0,3,3,2,2,2
Mississippi,271,1,threads8,77.902,364.212,10,10,10,0,0,1,1,1,1,1,1,1,33,0,0,0,0,3,3,2,2,2
Mississippi,281,1,baseline,368.109,368.109,11,11,11,0,0,1,1,1,1,1,1,1,58,0,0,0,0,5,5,2,2,2
Mississippi,281,1,serial,237.433,368.109,11,11,11,0,0,1,1,1,1,1,1,1,58,0,0,0,0,5,5,2,2,2
Mississippi,281,1,threads4,90.318,368.109,11,11,11,0,0,1,1,1,1,1,1,1,58,0,0,0,0,5,5,2,2,2
Mississippi,281,1,threads8,74.271,368.109,11,11,11,0,0,1,1,1,1,1,1,1,58,0,0,0,0,5,5,2,2,2
Mississippi,291,1,baseline,285.887,285.887,40,40,40,0,0,1,1,1,1,1,1,1,55,0,0,0,0,7,7,4,4,4
Mississippi,291,1,serial,182.369,285.887,40,40,40,0,0,1,1,1,1,1,1,1,55,0,0,0,0,7,7,4,4,4
Mississippi,291,1,threads4,110.216,285.887,40,40,40,0,0,1,1,1,1,1,1,1,55,0,0,0,0,7,7,4,4,4
Mississippi,291,1,threads8,66.412,285.887,40,40,40,0,0,1,1,1,1,1,1,1,55,0,0,0,0,7,7,4,4,4
Mississippi,301,1,baseline,282.461,282.461,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,1,serial,179.346,282.461,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,1,threads4,74.969,282.461,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,1,threads8,66.999,282.461,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,311,1,baseline,291.385,291.385,21,21,21,0,0,1,1,1,1,1,1,1,79,0,0,0,0,7,7,4,4,4
Mississippi,311,1,serial,178.793,291.385,21,21,21,0,0,1,1,1,1,1,1,1,79,0,0,0,0,7,7,4,4,4
Mississippi,311,1,threads4,75.621,291.385,21,21,21,0,0,1,1,1,1,1,1,1,79,0,0,0,0,7,7,4,4,4
Mississippi,311,1,threads8,67.203,291.385,21,21,21,0,0,1,1,1,1,1,1,1,79,0,0,0,0,7,7,4,4,4
Mississippi,321,1,baseline,332.295,332.295,31,31,31,0,0,1,1,1,1,1,1,1,67,0,0,0,0,3,3,1,1,1
Mississippi,321,1,serial,197.429,332.295,31,31,31,0,0,1,1,1,1,1,1,1,67,0,0,0,0,3,3,1,1,1
Mississippi,321,1,threads4,80.541,332.295,31,31,31,0,0,1,1,1,1,1,1,1,67,0,0,0,0,3,3,1,1,1
Mississippi,321,1,threads8,64.353,332.295,31,31,31,0,0,1,1,1,1,1,1,1,67,0,0,0,0,3,3,1,1,1
Mississippi,331,1,baseline,369.063,369.063,35,35,35,0,0,1,1,1,1,1,1,1,59,0,0,0,0,7,7,4,4,4
Mississippi,331,1,serial,211.117,369.063,35,35,35,0,0,1,1,1,1,1,1,1,59,0,0,0,0,7,7,4,4,4
Mississippi,331,1,threads4,84.933,369.063,35,35,35,0,0,1,1,1,1,1,1,1,59,0,0,0,0,7,7,4,4,4
Mississippi,331,1,threads8,70.115,369.063,35,35,35,0,0,1,1,1,1,1,1,1,59,0,0,0,0,7,7,4,4,4
Mississippi,341,1,baseline,347.713,347.713,10,10,10,0,0,1,1,1,1,1,1,1,68,0,0,0,0,3,3,2,2,2
Mississippi,341,1,serial,217.916,347.713,10,10,10,0,0,1,1,1,1,1,1,1,68,0,0,0,0,3,3,2,2,2
Mississippi,341,1,threads4,85.243,347.713,10,10,10,0,0,1,1,1,1,1,1,1,68,0,0,0,0,3,3,2,2,2
Mississippi,341,1,threads8,72.264,347.713,10,10,10,0,0,1,1,1,1,1,1,1,68,0,0,0,0,3,3,2,2,2
Mississippi,351,1,baseline,338.249,338.249,11,11,11,0,0,1,1,1,1,1,1,1,63,0,0,0,0,3,3,3,3,3
Mississippi,351,1,serial,218.244,338.249,11,11,11,0,0,1,1,1,1,1,1,1,63,0,0,0,0,3,3,3,3,3
Mississippi,351,1,threads4,90.882,338.249,11,11,11,0,0,1,1,1,1,1,1,1,63,0,0,0,0,3,3,3,3,3
Mississippi,351,1,threads8,72.557,338.249,11,11,11,0,0,1,1,1,1,1,1,1,63,0,0,0,0,3,3,3,3,3
Mississippi,361,1,baseline,379.398,379.398,19,19,19,0,0,1,1,1,1,1,1,1,53,0,0,0,0,4,4,2,2,2
Mississippi,361,1,serial,259.597,379.398,19,19,19,0,0,1,1,1,1,1,1,1,53,0,0,0,0,4,4,2,2,2
Mississippi,361,1,threads4,104.775,379.398,19,19,19,0,0,1,1,1,1,1,1,1,53,0,0,0,0,4,4,2,2,2
Mississippi,361,1,threads8,79.859,379.398,19,19,19,0,0,1,1,1,1,1,1,1,53,0,0,0,0,4,4,2,2,2
Mississippi,371,1,baseline,462.907,462.907,23,23,23,0,0,1,1,1,1,1,1,1,51,0,0,0,0,9,9,1,1,1
Mississippi,371,1,serial,270.601,462.907,23,23,23,0,0,1,1,1,1,1,1,1,51,0,0,0,0,9,9,1,1,1
Mississippi,371,1,threads4,108.998,462.907,23,23,23,0,0,1,1,1,1,1,1,1,51,0,0,0,0,9,9,1,1,1
Mississippi,371,1,threads8,79.234,462.907,23,23,23,0,0,1,1,1,1,1,1,1,51,0,0,0,0,9,9,1,1,1
Mississippi,381,1,baseline,480.633,480.633,17,17,17,0,0,1,1,1,1,1,1,1,46,0,0,0,0,3,3,2,2,2
Mississippi,381,1,serial,293.453,480.633,17,17,17,0,0,1,1,1,1,1,1,1,46,0,0,0,0,3,3,2,2,2
Mississippi,381,1,threads4,116.671,480.633,17,17,17,0,0,1,1,1,1,1,1,1,46,0,0,0,0,3,3,2,2,2
Mississippi,381,1,threads8,86.287,480.633,17,17,17,0,0,1,1,1,1,1,1,1,46,0,0,0,0,3,3,2,2,2
Mississippi,391,1,baseline,406.429,406.429,10,10,10,0,0,1,1,1,1,1,1,1,40,0,0,0,0,4,4,1,1,1
Mississippi,391,1,serial,256.33,406.429,10,10,10,0,0,1,1,1,1,1,1,1,40,0,0,0,0,4,4,1,1,1
Mississippi,391,1,threads4,99.073,406.429,10,10,10,0,0,1,1,1,1,1,1,1,40,0,0,0,0,4,4,1,1,1
Mississippi,391,1,threads8,76.267,406.429,10,10,10,0,0,1,1,1,1,1,1,1,40,0,0,0,0,4,4,1,1,1
Mississippi,401,1,baseline,421.48,421.48,9,9,9,0,0,1,1,1,1,1,1,1,62,0,0,0,0,3,3,2,2,2
Mississippi,401,1,serial,258.402,421.48,9,9,9,0,0,1,1,1,1,1,1,1,62,0,0,0,0,3,3,2,2,2
Mississippi,401,1,threads4,95.997,421.48,9,9,9,0,0,1,1,1,1,1,1,1,62,0,0,0,0,3,3,2,2,2
Mississippi,401,1,threads8,80.307,421.48,9,9,9,0,0,1,1,1,1,1,1,1,62,0,0,0,0,3,3,2,2,2
Mississippi,411,1,baseline,344.922,344.922,9,9,9,0,0,1,1,1,1,1,1,1,55,0,0,0,0,4,4,2,2,2
Mississippi,411,1,serial,216.153,344.922,9,9,9,0,0,1,1,1,1,1,1,1,55,0,0,0,0,4,4,2,2,2
Mississippi,411,1,threads4,88.44,344.922,9,9,9,0,0,1,1,1,1,1,1,1,55,0,0,0,0,4,4,2,2,2
Mississippi,411,1,threads8,63.858,344.922,9,9,9,0,0,1,1,1,1,1,1,1,55,0,0,0,0,4,4,2,2,2
Mississippi,421,1,baseline,253.284,253.284,5,5,5,0,0,1,1,1,1,1,1,1,69,0,0,0,0,3,3,1,1,1
Mississippi,421,1,serial,170.567,253.284,5,5,5,0,0,1,1,1,1,1,1,1,69,0,0,0,0,3,3,1,1,1
Mississippi,421,1,threads4,74.044,253.284,5,5,5,0,0,1,1,1,1,1,1,1,69,0,0,0,0,3,3,1,1,1
Mississippi,421,1,threads8,59.746,253.284,5,5,5,0,0,1,1,1,1,1,1,1,69,0,0,0,0,3,3,1,1,1
Mississippi,431,1,baseline,207.965,207.965,8,8,8,0,0,1,1,1,1,1,1,1,30,0,0,0,0,5,5,2,2,2
Mississippi,431,1,serial,150.793,207.965,8,8,8,0,0,1,1,1,1,1,1,1,30,0,0,0,0,5,5,2,2,2
Mississippi,431,1,threads4,62.801,207.965,8,8,8,0,0,1,1,1,1,1,1,1,30,0,0,0,0,5,5,2,2,2
Mississippi,431,1,threads8,51.328,207.965,8,8,8,0,0,1,1,1,1,1,1,1,30,0,0,0,0,5,5,2,2,2
Mississippi,441,1,baseline,226.345,226.345,9,9,9,0,0,1,1,1,1,1,1,1,55,0,0,0,0,5,5,2,2,2
Mississippi,441,1,serial,157.2,226.345,9,9,9,0,0,1,1,1,1,1,1,1,55,0,0,0,0,5,5,2,2,2
Mississippi,441,1,threads4,70.564,226.345,9,9,9,0,0,1,1,1,1,1,1,1,55,0,0,0,0,5,5,2,2,2
Mississippi,441,1,threads8,53.637,226.345,9,9,9,0,0,1,1,1,1,1,1,1,55,0,0,0,0,5,5,2,2,2
