method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
baseline,700,3,5,199,81.622,70.945,10.652,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,5,200,69.348,63.646,5.681,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,1050,3,5,201,84.787,69.171,15.595,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,1050,3,5,202,69.053,62.36,6.67,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,1050,2,5,203,71.926,65.205,6.699,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,1050,2,5,204,85.666,68.988,16.653,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,900,1,5,205,95.987,79.957,16.005,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,5,206,75.768,68.81,6.939,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,550,1,5,207,74.584,68.815,5.75,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,1,5,208,92.939,77.453,15.466,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,1050,1,5,209,69.363,62.608,6.732,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,1050,1,5,210,84.691,68.806,15.864,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,1050,1,6,211,85.098,68.506,16.571,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,6,212,83.594,76.469,7.099,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,260,2,6,213,81.215,65.5,15.694,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,260,2,6,214,65.804,59.027,6.754,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,1050,3,6,215,67.329,60.906,6.4,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
baseline,1050,3,6,216,81.437,67.213,14.201,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
baseline,550,2,6,217,90.187,73.547,16.619,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,6,218,72.948,65.99,6.932,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,700,1,6,219,81.629,69.393,12.207,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,6,220,67.781,61.293,6.468,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,1050,2,6,221,69.297,62.357,6.918,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,1050,2,6,222,87.054,68.754,18.276,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,120,2,6,223,87.939,68.267,19.649,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,2,6,224,67.26,59.588,7.645,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,550,3,6,225,87.687,74.689,12.974,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,6,226,71.697,65.579,6.098,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,900,2,6,227,91.678,75.867,15.79,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,6,228,77.301,70.551,6.728,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,120,3,6,229,88.745,70.359,18.364,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,120,3,6,230,66.579,59.367,7.191,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
baseline,120,1,6,231,86.794,67.302,19.471,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,6,232,67.802,59.829,7.953,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,700,2,6,233,70.611,65,5.587,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,700,2,6,234,81.557,68.113,13.426,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,900,1,6,235,74.899,67.868,7.005,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
baseline,900,1,6,236,93.118,77.173,15.923,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
baseline,700,3,6,237,85.71,74.206,11.483,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,6,238,69.117,63.166,5.926,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,260,3,6,239,74.995,61.113,13.861,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,6,240,63,56.353,6.625,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,350,1,6,241,77.01,62.491,14.491,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,6,242,63.175,56.907,6.246,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,550,1,6,243,74.543,67.559,6.962,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,1,6,244,91.003,76.362,14.62,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,900,3,6,245,95.469,80.902,14.547,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,6,246,75.463,68.676,6.768,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
