frame,seconds,confirmedComponents
765,0.063916,104
766,0.065144,98
767,0.060144,98
768,0.061703,96
769,0.066787,101
770,0.067684,107
771,0.063014,100
772,0.061081,97
773,0.068614,88
774,0.061699,79
775,0.064194,80
776,0.062717,82
777,0.063356,85
778,0.064526,81
779,0.062623,80
780,0.063646,80
781,0.063666,83
782,0.066915,78
783,0.061934,76
784,0.062458,79
785,0.067335,74
786,0.070513,72
787,0.068331,77
788,0.065291,77
789,0.062002,77
790,0.063846,85
791,0.065664,84
792,0.063461,89
793,0.062679,86
794,0.061487,90
795,0.061259,84
796,0.068963,76
797,0.067771,81
798,0.064259,74
799,0.060173,74
800,0.062859,77
801,0.064923,77
802,0.060492,79
803,0.061321,73
804,0.060991,67
805,0.061551,73
806,0.060109,70
807,0.063473,72
808,0.070109,84
809,0.065783,89
810,0.06351,89
811,0.067411,82
812,0.066603,80
813,0.065731,79
814,0.066594,79
815,0.066882,79
816,0.064927,80
817,0.061043,83
818,0.062663,87
819,0.063233,85
820,0.060986,86
821,0.069823,85
822,0.066214,93
823,0.063961,92
824,0.068634,88
825,0.065363,87
826,0.066492,84
827,0.063149,87
828,0.068588,91
829,0.062397,96
830,0.063451,90
831,0.062299,95
832,0.060799,88
833,0.065457,87
834,0.069242,92
835,0.063913,85
836,0.063777,84
837,0.063361,86
838,0.060218,78
839,0.062742,80
840,0.064962,78
841,0.061127,79
842,0.063444,74
843,0.066208,75
844,0.069789,70
845,0.060814,68
846,0.063117,95
847,0.064547,98
848,0.061272,109
849,0.062256,107
850,0.065425,112
851,0.064915,112
852,0.062844,113
853,0.063538,113
854,0.061864,110
855,0.063652,103
856,0.06106,109
857,0.066359,114
858,0.062613,111
859,0.062588,107
860,0.060696,106
861,0.062299,106
862,0.061213,101
863,0.062422,104
864,0.061123,99
865,0.062927,98
866,0.06262,97
867,0.062763,88
868,0.060957,83
869,0.060544,79
870,0.0597,83
871,0.06011,80
872,0.063475,89
873,0.060497,98
874,0.062027,90
875,0.060854,91
876,0.060319,89
877,0.060877,86
878,0.059472,85
879,0.060814,91
880,0.059813,95
881,0.060459,98
882,0.064472,89
883,0.059415,88
884,0.05637,84
885,0.058286,79
886,0.059609,78
887,0.059935,97
888,0.063433,108
889,0.064335,114
890,0.061571,113
891,0.065224,113
892,0.066605,119
893,0.06145,111
894,0.070534,122
895,0.06424,106
896,0.063013,110
897,0.068199,109
898,0.067759,104
899,0.063165,99
900,0.061723,107
901,0.062449,110
902,0.061284,113
903,0.060839,106
904,0.060008,100
905,0.060614,98
906,0.061133,98
907,0.060196,96
908,0.060802,99
909,0.061212,91
910,0.06113,88
911,0.061972,88
912,0.062845,90
913,0.062055,88
914,0.059886,93
915,0.065627,87
916,0.071037,84
917,0.061945,77
918,0.060122,65
919,0.057881,60
920,0.059641,58
921,0.060559,49
922,0.063476,55
923,0.060801,71
924,0.061158,70
925,0.058404,69
926,0.056471,74
927,0.056122,78
928,0.060069,81
929,0.058892,100
930,0.056382,103
931,0.061186,111
932,0.057982,108
933,0.061181,117
934,0.06091,115
935,0.059675,118
936,0.063688,119
937,0.06007,112
938,0.057355,98
939,0.055166,99
940,0.05482,98
941,0.053472,95
942,0.053963,98
943,0.058192,108
944,0.055099,110
945,0.064776,112
946,0.057861,106
947,0.055919,102
948,0.052336,97
949,0.058566,108
950,0.055485,97
951,0.058292,91
952,0.059671,85
953,0.058752,86
954,0.060354,73
955,0.056444,61
956,0.055873,61
957,0.05835,60
958,0.057582,64
959,0.053995,61
960,0.055235,59
961,0.054027,58
962,0.052431,59
963,0.053479,53
964,0.055335,66
965,0.057291,71
966,0.056498,74
967,0.057249,75
968,0.055117,81
969,0.057939,79
970,0.074908,77
971,0.068309,77
972,0.06534,81
973,0.061603,86
974,0.05756,88
975,0.058583,93
976,0.062475,94
977,0.056231,86
978,0.063363,91
979,0.060274,97
980,0.056085,97
981,0.058268,95
982,0.058621,94
983,0.054592,94
984,0.06064,92
985,0.061191,91
986,0.060405,91
987,0.055823,91
988,0.055917,86
989,0.059283,92
990,0.057126,94
991,0.055698,93
992,0.053614,100
993,0.060497,97
994,0.059944,96
995,0.05474,96
996,0.048858,94
997,0.05177,93
998,0.052892,95
999,0.052754,83
1000,0.056579,85
1001,0.057119,81
1002,0.060042,87
1003,0.05384,98
1004,0.061834,94
1005,0.060431,102
1006,0.056747,104
1007,0.058552,106
1008,0.054909,103
1009,0.05454,101
1010,0.062964,101
1011,0.063378,102
1012,0.061502,103
1013,0.059441,100
1014,0.055913,99
1015,0.05905,97
1016,0.055577,94
1017,0.059456,91
1018,0.060798,85
1019,0.059074,87
1020,0.059633,85
1021,0.052632,89
1022,0.055643,79
1023,0.055313,76
1024,0.054227,78
1025,0.054661,75
1026,0.057113,75
1027,0.052066,64
1028,0.057,62
1029,0.060242,74
1030,0.056694,81
1031,0.053806,92
1032,0.057546,90
1033,0.050542,94
1034,0.055974,93
1035,0.056474,97
1036,0.054853,98
1037,0.052127,99
1038,0.05244,98
1039,0.05724,104
1040,0.053559,111
1041,0.050691,105
1042,0.057928,105
1043,0.052709,103
1044,0.05522,101
1045,0.058952,99
1046,0.057563,106
1047,0.055749,111
1048,0.057948,111
1049,0.061281,108
1050,0.056387,104
1051,0.055665,104
1052,0.052183,100
1053,0.05352,100
1054,0.057223,98
1055,0.058251,99
1056,0.059858,93
1057,0.060563,100
1058,0.05829,102
1059,0.058559,109
