frame,aidUsed,candidates,selected,maxRelativeSupport,validCandidates,maxModeSecondMoment
765,1,1,1,1,1,0
766,1,1,1,1,1,0
767,1,1,1,1,1,0
768,1,1,1,1,1,0
769,1,1,1,1,1,0
770,1,1,1,1,1,0
771,1,1,1,1,1,0
772,1,1,1,1,1,0
773,1,2,1,1,2,0
774,1,2,1,1,2,0
775,1,2,2,1,2,0
776,1,2,1,1,2,0
777,1,2,1,1,2,0
778,1,2,1,0.506386303118019,2,0.000224328397065564
779,1,2,1,1,2,0
780,1,2,1,1,2,0
781,1,2,1,1,2,0
782,1,2,1,1,2,0
783,1,2,1,1,2,0
784,1,2,2,1,2,0
785,1,2,1,1,2,0
786,1,2,2,1,2,0
787,1,2,1,1,2,0
788,1,2,1,0.516967400271194,2,0.00722037331431984
789,1,2,1,1,2,0
790,1,2,2,1,2,0
791,1,2,2,1,2,0
792,1,2,1,0.504975568379842,2,0.00250454341383032
793,1,2,1,0.505360848912703,2,0.00127742540574113
794,1,2,2,1,2,0
795,1,2,1,0.500191348909033,2,0.000262204242387938
796,1,2,2,0.500568026724119,2,0.000154835084404571
797,1,2,2,0.500892154957602,2,0.000387511991505057
798,1,2,1,0.503258262528066,2,0.00186145943627934
799,1,2,2,1,2,0
800,1,2,2,1,2,0
801,1,2,1,0.504716522790299,2,0.00157056129070257
802,1,2,2,1,2,0
803,1,2,2,0.513837927312271,2,0.000413932319893141
804,1,2,2,0.531803809279685,2,0.00126998078641897
805,1,2,2,1,2,0
806,1,2,2,1,2,0
807,1,2,2,1,2,0
808,1,2,1,1,2,0
809,1,2,1,1,2,0
810,1,2,2,1,2,0
811,1,2,1,0.508724729372492,2,0.00224194955325703
812,1,2,1,0.516301684159219,2,0.00161813130531284
813,1,2,2,1,2,0
814,1,2,2,1,2,0
815,1,2,2,1,2,0
816,1,2,2,1,2,0
817,1,2,2,1,2,0
818,1,2,2,1,2,0
819,1,2,2,1,2,0
820,1,2,2,1,2,0
821,1,2,2,1,2,0
822,1,2,2,1,2,0
823,1,2,2,1,2,0
824,1,2,2,1,2,0
825,1,2,2,1,2,0
826,1,2,2,1,2,0
827,1,2,1,1,2,0
828,1,2,1,1,2,0
829,1,2,1,1,2,0
830,1,2,2,1,2,0
831,1,2,2,1,2,0
832,1,2,2,1,2,0
833,1,2,2,1,2,0
834,1,2,2,1,2,0
835,1,2,2,1,2,0
836,1,2,2,1,2,0
837,1,2,2,1,2,0
838,1,2,2,1,2,0
839,1,2,2,1,2,0
840,1,2,2,1,2,0
841,1,2,2,0.74578199028063,2,0.048736404756001
842,1,2,2,0.781731921962993,2,0.0328773799968121
843,1,2,2,1,2,0
844,1,2,1,1,2,0
845,1,2,2,0.51577543744342,2,0.000714699097272545
846,1,2,2,1,2,0
847,1,2,2,1,2,0
848,1,2,2,0.533143222757192,2,0.00182623845152628
849,1,2,2,1,2,0
850,1,2,2,1,2,0
851,1,2,2,1,2,0
852,1,2,2,1,2,0
853,1,2,1,1,2,0
854,1,2,2,1,2,0
855,1,2,1,1,2,0
856,1,2,1,1,2,0
857,1,2,1,1,2,0
858,1,2,2,1,2,0
859,1,2,1,1,2,0
860,1,2,2,1,2,0
861,1,2,2,1,2,0
862,1,2,2,1,2,0
863,1,2,2,1,2,0
864,1,2,2,1,2,0
865,1,2,2,1,2,0
866,1,2,2,1,2,0
867,1,2,2,1,2,0
868,1,2,2,1,2,0
869,1,2,2,1,2,0
870,1,2,2,1,2,0
871,1,2,2,1,2,0
872,1,2,2,1,2,0
873,1,2,2,0.55400976737485,2,0.00858988392388749
874,1,2,2,0.555707812122289,2,0.00762741233762893
875,1,2,2,0.571758438110486,2,0.00931653377694086
876,1,2,2,0.586885956435636,2,0.0160161022791534
877,1,2,2,0.623134377548469,2,0.0280610189138515
878,1,2,2,0.63250339899364,2,0.0227584954645081
879,1,2,2,0.582403824025703,2,0.0137603631309102
880,1,2,1,1,2,0
881,1,2,2,1,2,0
882,1,2,2,1,2,0
883,1,2,1,1,2,0
884,1,2,2,1,2,0
885,1,2,1,1,2,0
886,1,2,2,1,2,0
887,1,2,2,1,2,0
888,1,2,1,1,2,0
889,1,2,2,1,2,0
890,1,2,2,1,2,0
891,1,2,1,1,2,0
892,1,2,1,1,2,0
893,1,2,1,1,2,0
894,1,2,1,1,2,0
895,1,2,1,1,2,0
896,1,2,1,1,2,0
897,1,2,2,1,2,0
898,1,2,2,1,2,0
899,1,2,2,1,2,0
900,1,2,2,1,2,0
901,1,2,2,1,2,0
902,1,2,2,1,2,0
903,1,2,1,1,2,0
904,1,2,1,1,2,0
905,1,2,1,1,2,0
906,1,2,2,1,2,0
907,1,2,1,1,2,0
908,1,2,2,1,2,0
909,1,2,1,1,2,0
910,1,2,1,1,2,0
911,1,2,2,1,2,0
912,1,2,2,1,2,0
913,1,2,2,1,2,0
914,1,2,2,1,2,0
915,1,2,2,1,2,0
916,1,2,2,1,2,0
917,1,2,2,1,2,0
918,1,2,1,1,2,0
919,1,2,1,1,2,0
