frame,start,repetition,order,totalMs,perceptionMs,registrationMs,overheadMs,accepted,reason,rank,iterations,sourceComponents,mapComponents,x,y,psi,positionDifferenceM,yawDifferenceDeg
550,3,8,156,84.953,71.889,13.044,0.0200000000000067,1,accepted,3,5,97,72,484318.963452627,4976932.61287761,-1.20165124874851,0.0991930287240532,0.446105851368959
1050,3,8,157,79.905,65.564,14.315,0.0260000000000087,1,accepted,3,7,88,60,484567.751059248,4976643.25616069,0.128001545817001,0.315151989027784,-0.174234493685339
700,3,8,158,78.82,68.211,10.586,0.0230000000000086,1,accepted,3,5,86,57,484338.416344518,4976756.31468122,-1.68420950071304,0.144206564758083,0.0794421205501747
350,2,8,159,72.842,57.423,15.402,0.0169999999999959,1,accepted,3,7,92,85,484253.513400358,4977184.32287391,-1.50048899856276,0.276823541978382,-0.0173566349211564
1050,1,8,160,79.181,63.335,15.827,0.0189999999999966,1,accepted,3,8,88,60,484567.751058829,4976643.25615888,0.128001691396435,0.315151868655589,-0.174226152598185
120,2,8,161,79.115,59.978,19.118,0.0190000000000161,1,accepted,3,8,104,81,484199.342133934,4977468.71786419,-1.10944198920551,0.273429262011006,-0.302886720463031
550,2,8,162,85.364,69.227,16.12,0.0169999999999888,1,accepted,3,7,97,72,484318.963452939,4976932.6128778,-1.20165116555198,0.0991931485191926,0.446110618179081
260,2,8,163,74.708,60.083,14.607,0.0180000000000007,1,accepted,3,8,82,57,484229.745914492,4977312.00889569,-1.34325727183373,0.210796655863734,-0.345699985780731
550,1,8,164,84.717,70.23,14.469,0.0179999999999954,1,accepted,3,6,97,72,484318.963467551,4976932.61288377,-1.20165136270671,0.0991958565882764,0.446099322044919
120,1,8,165,86.066,64.41,21.637,0.0190000000000055,1,accepted,3,8,104,81,484199.299792639,4977468.70878437,-1.1067148870627,0.239459868377493,-0.146635277378864
900,1,8,166,87.497,71.335,16.143,0.0190000000000055,1,accepted,3,7,94,64,484396.94345131,4976621.57081372,0.0816793185819688,0.372039482852971,0.739555862637615
260,1,8,167,70.111,57.48,12.614,0.0169999999999995,1,accepted,3,6,82,57,484229.745904705,4977312.00888434,-1.34325585920898,0.210781690787584,-0.345619048344313
700,2,8,168,79.05,65.856,13.176,0.0180000000000025,1,accepted,3,7,86,57,484338.416346514,4976756.31468095,-1.684209439972,0.144207008372831,0.0794456007554339
900,1,9,169,91.047,75.856,15.172,0.0189999999999877,1,accepted,3,7,94,64,484396.94345131,4976621.57081372,0.0816793185819688,0.372039482852971,0.739555862637615
700,2,9,170,79.019,65.886,13.115,0.0180000000000096,1,accepted,3,7,86,57,484338.416346514,4976756.31468095,-1.684209439972,0.144207008372831,0.0794456007554339
260,2,9,171,76.164,61.758,14.388,0.0179999999999989,1,accepted,3,8,82,57,484229.745914492,4977312.00889569,-1.34325727183373,0.210796655863734,-0.345699985780731
550,2,9,172,85.802,69.813,15.97,0.0190000000000019,1,accepted,3,7,97,72,484318.963452939,4976932.6128778,-1.20165116555198,0.0991931485191926,0.446110618179081
700,3,9,173,75.327,64.54,10.77,0.0169999999999924,1,accepted,3,5,86,57,484338.416344518,4976756.31468122,-1.68420950071304,0.144206564758083,0.0794421205501747
1050,2,9,174,80.559,63.263,17.277,0.0190000000000126,1,accepted,3,8,88,60,484567.751062949,4976643.25617664,0.128000263306228,0.315153040535861,-0.174307976139793
350,2,9,175,71.86,56.522,15.321,0.0169999999999941,1,accepted,3,7,92,85,484253.513400358,4977184.32287391,-1.50048899856276,0.276823541978382,-0.0173566349211564
900,2,9,176,84.112,68.744,15.351,0.0170000000000083,1,accepted,3,7,94,64,484396.943437749,4976621.57082473,0.0816785012024783,0.372025793942765,0.739509030242552
260,3,9,177,73.119,59.965,13.135,0.0190000000000019,1,accepted,3,7,82,57,484229.745907595,4977312.00889249,-1.34325590595235,0.210789908761945,-0.345621726542112
350,3,9,178,73.657,59.44,14.19,0.0269999999999992,1,accepted,3,6,92,85,484253.513400443,4977184.32287184,-1.50048901351725,0.276821775887118,-0.0173574917498781
700,1,9,179,85.632,73.148,12.449,0.0349999999999948,1,accepted,3,6,86,57,484338.416353589,4976756.31467991,-1.68420922486605,0.144208480908875,0.0794579254189081
550,1,9,180,100.896,86.539,14.337,0.0199999999999978,1,accepted,3,6,97,72,484318.963467551,4976932.61288377,-1.20165136270671,0.0991958565882764,0.446099322044919
350,1,9,181,72.107,58.599,13.49,0.0180000000000025,1,accepted,3,6,92,85,484253.513405994,4977184.32287283,-1.50048869217652,0.276825374009838,-0.0173390802822748
120,3,9,182,86.624,67.001,19.603,0.0200000000000067,1,accepted,3,7,104,81,484199.299781229,4977468.70877656,-1.10671518479332,0.239446809598065,-0.146652336086767
120,2,9,183,83.758,63.127,20.607,0.0239999999999938,1,accepted,3,8,104,81,484199.342133934,4977468.71786419,-1.10944198920551,0.273429262011006,-0.302886720463031
260,1,9,184,68.027,56.443,11.566,0.0180000000000025,1,accepted,3,6,82,57,484229.745904705,4977312.00888434,-1.34325585920898,0.210781690787584,-0.345619048344313
120,1,9,185,83.609,61.637,21.954,0.0180000000000078,1,accepted,3,8,104,81,484199.299792639,4977468.70878437,-1.1067148870627,0.239459868377493,-0.146635277378864
550,3,9,186,84.133,71.271,12.844,0.0179999999999954,1,accepted,3,5,97,72,484318.963452627,4976932.61287761,-1.20165124874851,0.0991930287240532,0.446105851368959
1050,1,9,187,81.624,63.614,17.992,0.01799999999999,1,accepted,3,8,88,60,484567.751058829,4976643.25615888,0.128001691396435,0.315151868655589,-0.174226152598185
1050,3,9,188,81.145,66.735,14.392,0.0179999999999971,1,accepted,3,7,88,60,484567.751059248,4976643.25616069,0.128001545817001,0.315151989027784,-0.174234493685339
900,3,9,189,85.637,72.215,13.403,0.0189999999999966,1,accepted,3,6,94,64,484396.943446546,4976621.57080737,0.0816790516049394,0.372034793567822,0.739540565980606
260,2,10,190,71.954,56.787,15.148,0.019000000000009,1,accepted,3,8,82,57,484229.745914492,4977312.00889569,-1.34325727183373,0.210796655863734,-0.345699985780731
1050,1,10,191,82.148,65.662,16.464,0.0220000000000056,1,accepted,3,8,88,60,484567.751058829,4976643.25615888,0.128001691396435,0.315151868655589,-0.174226152598185
120,3,10,192,81.884,65.104,16.761,0.0189999999999984,1,accepted,3,7,104,81,484199.299781229,4977468.70877656,-1.10671518479332,0.239446809598065,-0.146652336086767
700,1,10,193,78.904,67.392,11.494,0.0179999999999989,1,accepted,3,6,86,57,484338.416353589,4976756.31467991,-1.68420922486605,0.144208480908875,0.0794579254189081
700,3,10,194,78.136,67.382,10.735,0.0190000000000055,1,accepted,3,5,86,57,484338.416344518,4976756.31468122,-1.68420950071304,0.144206564758083,0.0794421205501747
260,3,10,195,76.85,63.866,12.964,0.0200000000000014,1,accepted,3,7,82,57,484229.745907595,4977312.00889249,-1.34325590595235,0.210789908761945,-0.345621726542112
120,2,10,196,87.831,69.347,18.466,0.0179999999999936,1,accepted,3,8,104,81,484199.342133934,4977468.71786419,-1.10944198920551,0.273429262011006,-0.302886720463031
1050,2,10,197,81.602,65.88,15.703,0.018999999999993,1,accepted,3,8,88,60,484567.751062949,4976643.25617664,0.128000263306228,0.315153040535861,-0.174307976139793
550,3,10,198,80.498,67.675,12.778,0.0450000000000088,1,accepted,3,5,97,72,484318.963452627,4976932.61287761,-1.20165124874851,0.0991930287240532,0.446105851368959
