mode,population,method,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost5cm,fractionAtMost10cm,headingRmseDeg
per_frame_negative,native_all,lidar_linear_reconstruction,1170,0.219944600253485,0.108383106313782,0.455608236065921,1.35176983633233,0.186324786324786,0.469230769230769,0.633702320949121
per_frame_negative,native_all,motion_aided_observer,1170,0.178902737127125,0.114166718842711,0.333815209306389,0.828964363909958,0.114529914529915,0.422222222222222,0.51968404676109
per_frame_negative,uniform_all,lidar_linear_reconstruction,11690,0.20491149825304,0.105806701953911,0.412032635979775,1.3458747208075,0.19606501283148,0.473053892215569,0.60467221827621
per_frame_negative,uniform_all,motion_aided_observer,11690,0.179417183904915,0.114740806522071,0.336436284722839,0.828980200317212,0.11240376390077,0.413430282292558,0.521014787469079
per_frame_negative,uniform_first60,lidar_linear_reconstruction,6001,0.188849645785745,0.094137536267493,0.377459855635699,0.924023261546515,0.249125145809032,0.520746542242959,0.591869465267414
per_frame_negative,uniform_first60,motion_aided_observer,6001,0.162357761530721,0.108103947124738,0.31992820708442,0.732037365206365,0.113481086485586,0.451091484752541,0.50921544298898
per_frame_negative,uniform_after60,lidar_linear_reconstruction,5689,0.220590366683422,0.116495301664348,0.444025391881171,1.3458747208075,0.140094920021093,0.422745649499033,0.61788967923682
per_frame_negative,uniform_after60,motion_aided_observer,5689,0.195807988464446,0.120636726907481,0.349121056052121,0.828980200317212,0.111267358059413,0.373703638600809,0.533178319156113
per_frame_negative,native_without_full_measurement,lidar_linear_reconstruction,101,0.324370286722755,0.187305263608417,0.774962830922955,0.827778910334528,0.128712871287129,0.257425742574257,0.87897561174399
per_frame_negative,native_without_full_measurement,motion_aided_observer,101,0.32663572688387,0.165691695627201,0.784496651150288,0.828964363909958,0.0891089108910891,0.237623762376238,0.828658492900583
per_frame_zero,native_full,motion_gap_reconstruction,1084,0.148634389798263,0.0788666854398096,0.330449648702042,0.575064923076906,0.252767527675277,0.616236162361624,0.424399955637063
per_frame_zero,native_full,observer_with_motion_gaps,1084,0.117369324654158,0.0963452442980099,0.206697149542251,0.329049821177467,0.123616236162362,0.535055350553506,0.313955470763155
per_frame_zero,native_all,motion_gap_reconstruction,1170,0.151269680238566,0.0823634143926933,0.328860478600992,0.575064923076906,0.242735042735043,0.594017094017094,0.445220582924701
per_frame_zero,native_all,observer_with_motion_gaps,1170,0.12182862870962,0.0983847256242617,0.225489516035975,0.329049821177467,0.120512820512821,0.514529914529914,0.346716909222717
per_frame_zero,uniform_all,motion_gap_reconstruction,11690,0.136732694419063,0.0806922121516172,0.286320314036487,0.571468568904726,0.255346449957228,0.600085543199316,0.418093781247517
per_frame_zero,uniform_all,observer_with_motion_gaps,11690,0.122594951691181,0.0987883066406342,0.226274205562709,0.334049234829016,0.120188195038494,0.511291702309666,0.347781470594457
per_frame_zero,uniform_first60,motion_gap_reconstruction,6001,0.130759599109294,0.0690273442407248,0.287816891879282,0.571468568904726,0.326112314614231,0.676220629895018,0.377974826526263
per_frame_zero,uniform_first60,observer_with_motion_gaps,6001,0.116275248311202,0.0939474237234871,0.207640467122056,0.334049234829016,0.114314280953174,0.565572404599233,0.319493121984008
per_frame_zero,uniform_after60,motion_gap_reconstruction,5689,0.142762782121347,0.0955669369357876,0.285682462848751,0.513166802726449,0.180699595711021,0.519775004394445,0.456608568838857
per_frame_zero,uniform_after60,observer_with_motion_gaps,5689,0.128925951168958,0.105726822468199,0.237431061515794,0.314676181978915,0.126384250307611,0.454034100896467,0.375317549908944
per_frame_zero,native_without_full_measurement,motion_gap_reconstruction,86,0.181230253202047,0.142737856056197,0.305298474331437,0.444740577281899,0.116279069767442,0.313953488372093,0.653025076144103
per_frame_zero,native_without_full_measurement,observer_with_motion_gaps,86,0.168187534169024,0.133724022843696,0.291648600039024,0.314011290299478,0.0813953488372093,0.255813953488372,0.626925006944137
per_frame_positive,native_full,motion_gap_reconstruction,1066,0.17710186432749,0.104577171699458,0.369100264552349,0.855137324422494,0.180112570356473,0.478424015009381,0.551785079370937
per_frame_positive,native_full,observer_with_motion_gaps,1066,0.138794540581978,0.109978449023551,0.243783696993662,0.728544096081888,0.135084427767355,0.442776735459662,0.452389008731909
per_frame_positive,native_all,motion_gap_reconstruction,1170,0.18266194083816,0.109292450427535,0.380881398019068,0.855137324422494,0.166666666666667,0.451282051282051,0.556236865479338
per_frame_positive,native_all,observer_with_motion_gaps,1170,0.147219878690107,0.113737604544571,0.262676851895809,0.728544096081888,0.125641025641026,0.416239316239316,0.464366569711378
per_frame_positive,uniform_all,motion_gap_reconstruction,11690,0.167811754582586,0.108297704247987,0.331073300818036,0.854822595485199,0.16082121471343,0.45491873396065,0.53276181957038
per_frame_positive,uniform_all,observer_with_motion_gaps,11690,0.148124146192083,0.114727569557971,0.263737991885947,0.733492202449504,0.121385799828914,0.409409751924722,0.464052729983417
per_frame_positive,uniform_first60,motion_gap_reconstruction,6001,0.168655587405812,0.0936408999900937,0.359541578828372,0.802125169241896,0.218796867188802,0.528911848025329,0.443570266771328
per_frame_positive,uniform_first60,observer_with_motion_gaps,6001,0.145191168109436,0.100216746288236,0.270376159448654,0.733492202449504,0.131978003666056,0.498416930511581,0.397295362593743
per_frame_positive,uniform_after60,motion_gap_reconstruction,5689,0.16691702050913,0.121480636852167,0.300829407120467,0.854822595485199,0.0996660221480049,0.37686763930392,0.612936753034132
per_frame_positive,uniform_after60,observer_with_motion_gaps,5689,0.151156311605687,0.125666315653936,0.259366444821622,0.428790345312223,0.110212691158376,0.315521181226929,0.52535682569563
per_frame_positive,native_without_full_measurement,motion_gap_reconstruction,104,0.232096113768188,0.169997906387973,0.447479190550434,0.725154268568983,0.0288461538461538,0.173076923076923,0.599966154639266
per_frame_positive,native_without_full_measurement,observer_with_motion_gaps,104,0.215345806993652,0.167137741546015,0.348224175524489,0.651525186619099,0.0288461538461538,0.144230769230769,0.572875547974652
per_frame_negative,native_full,motion_gap_reconstruction,1069,0.207377178427302,0.103202047099693,0.43533232764138,1.35176983633233,0.19176800748363,0.489242282507016,0.605412590153471
per_frame_negative,native_full,observer_with_motion_gaps,1069,0.157731664778132,0.110170731596994,0.308131651090695,0.73200885247349,0.116931711880262,0.441534144059869,0.4782113074724
per_frame_negative,native_all,motion_gap_reconstruction,1170,0.211547241176961,0.107426547343807,0.426625530545392,1.35176983633233,0.183760683760684,0.470940170940171,0.627245065747178
per_frame_negative,native_all,observer_with_motion_gaps,1170,0.163867425711083,0.113502806520574,0.319556880254187,0.73200885247349,0.115384615384615,0.424786324786325,0.512632025195288
per_frame_negative,uniform_all,motion_gap_reconstruction,11690,0.195922524278525,0.105165432663482,0.389364610049883,1.3458747208075,0.192899914456801,0.475620188195038,0.597766340657749
per_frame_negative,uniform_all,observer_with_motion_gaps,11690,0.16438092306412,0.114239865279276,0.320261580667333,0.732037365206365,0.114285714285714,0.417023096663815,0.513975560574284
per_frame_negative,uniform_first60,motion_gap_reconstruction,6001,0.191011773146691,0.096797248961016,0.38318275425418,0.924023261546515,0.241293117813698,0.512247958673554,0.576731511807132
per_frame_negative,uniform_first60,observer_with_motion_gaps,6001,0.163696528627191,0.10921299422706,0.319926360524902,0.732037365206365,0.109648391934678,0.444425929011831,0.493293131724312
per_frame_negative,uniform_after60,motion_gap_reconstruction,5689,0.20097259071562,0.113097344674534,0.391589205419557,1.3458747208075,0.141852698189488,0.436983652663034,0.619180803587918
per_frame_negative,uniform_after60,observer_with_motion_gaps,5689,0.165099776854119,0.118448509762066,0.320713264625641,0.478903057496067,0.119177359817191,0.388117419581649,0.534926316854133
per_frame_negative,native_without_full_measurement,motion_gap_reconstruction,101,0.251479893383684,0.200410984732618,0.39515928813964,0.525061756368317,0.099009900990099,0.277227722772277,0.82357568388488
per_frame_negative,native_without_full_measurement,observer_with_motion_gaps,101,0.218489766712637,0.164898683568412,0.346436492815925,0.383512322539776,0.099009900990099,0.247524752475248,0.789791122579422
