method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
optimized,1050,2,4,142,73.319,67.034,6.265,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,550,3,4,143,92.755,79.432,13.302,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,4,144,80.982,74.339,6.62,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,2,4,145,82.4,72.827,9.551,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,550,2,4,146,101.617,83.441,18.155,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,350,1,4,147,82.706,68.378,14.308,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,4,148,65.112,57.636,7.455,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
baseline,700,2,4,149,96.212,80.875,15.313,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,4,150,78.371,72.409,5.939,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,900,2,4,151,84.037,76.93,7.08,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,900,2,4,152,136.564,121.069,15.473,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,1050,3,4,153,74.039,68.265,5.754,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
baseline,1050,3,4,154,91.513,76.156,15.337,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
baseline,350,2,4,155,87.247,70.289,16.936,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,4,156,71.827,64.287,7.517,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,900,3,4,157,102.112,87.23,14.86,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,4,158,80.499,74.833,5.647,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,120,1,4,159,89.742,69.353,20.364,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,4,160,68.106,60.15,7.935,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
baseline,900,1,4,161,95.577,79.434,16.117,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,4,162,78.212,70.088,8.102,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,550,1,4,163,75.878,67.163,8.693,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,1,4,164,94.867,78.763,16.078,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,350,3,4,165,69.88,62.557,7.297,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
baseline,350,3,4,166,83.525,68.576,14.927,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
baseline,260,1,4,167,76.611,64.577,12.011,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,260,1,4,168,64.606,57.661,6.922,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,900,3,5,169,80.274,70.777,9.47,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,900,3,5,170,102.474,87.523,14.929,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,700,1,5,171,87.489,75.263,12.206,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,5,172,77.405,70.442,6.941,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,260,1,5,173,77.338,65.327,11.988,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,260,1,5,174,68.503,61.917,6.559,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,120,2,5,175,71.07,63.286,7.762,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,120,2,5,176,93.667,70.842,22.804,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,260,2,5,177,85.53,69.293,16.213,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,260,2,5,178,69.059,62.971,6.068,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,700,2,5,179,93.387,78.568,14.798,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,5,180,76.945,71.136,5.789,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,120,3,5,181,90.875,71.825,19.03,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,120,3,5,182,70.443,64.12,6.304,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
baseline,350,2,5,183,81.063,65.058,15.985,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,5,184,66.971,59.129,7.82,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,120,1,5,185,92.004,72.323,19.661,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,5,186,73.181,64.309,8.85,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
baseline,900,2,5,187,114.45,93.535,20.888,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,5,188,92.626,84.903,7.699,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,350,1,5,189,69.025,62.155,6.845,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
baseline,350,1,5,190,78.838,62.964,15.852,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,550,2,5,191,76.607,69.073,7.508,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,550,2,5,192,92.195,74.997,17.177,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,260,3,5,193,78.505,64.989,13.496,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,5,194,64.581,57.412,7.146,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,350,3,5,195,81.407,66.344,15.043,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,5,196,67.335,60.62,6.695,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
baseline,550,3,5,197,90.901,76.737,14.144,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,5,198,74.946,69.096,5.83,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,700,3,5,199,87.055,76.008,11.026,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,5,200,70.378,64.42,5.938,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,1050,3,5,201,88.828,73.546,15.254,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,1050,3,5,202,69.878,63.017,6.839,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,1050,2,5,203,71.235,64.853,6.36,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,1050,2,5,204,89.746,72.424,17.293,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
