scenario,time,positionErrorM,yawErrorDeg,lateralVelocityMps,sideSlipAngleRad
fusion_1.3,58.2,0.18919764226668,0.28044637092886,0.00618700096467163,0.000522128830244128
fusion_1.3,58.3,0.188784319372757,0.332936657609093,0.00595454906836897,0.000487554164209309
fusion_1.3,58.4,0.185659087218648,0.334663604149003,0.00402785658020265,0.00044988605392837
fusion_1.3,58.5,0.205022638610186,0.306372953075079,0.00512000080652539,0.000374790936117115
fusion_1.3,58.6,0.177013541570961,0.320468191073157,0.00714815285823627,0.000397273807615202
fusion_1.3,58.7,0.197986594054594,0.397823108669063,0.0139934226568394,0.000573354722678403
fusion_1.3,58.8,0.168747486345287,0.364639017966915,0.0079664917418467,0.00078039335566833
fusion_1.3,58.9,0.173276018967883,0.446926411734246,0.0114606044838954,0.000807869073165888
fusion_1.3,59,0.180938629661408,0.432820331533938,0.00188020142115242,0.000787814481206577
fusion_1.3,59.1,0.210972660070443,0.376255438727217,0.00195711142667144,0.000458342801990351
fusion_1.3,59.2,0.214007007018874,0.348209533485831,0.0032637275793434,0.000295653642107815
fusion_1.3,59.3,0.185067530368529,0.402538806300214,0.0100865079167748,0.000385026659111215
fusion_1.3,59.4,0.181318260980023,0.400688465541375,0.00192351253212202,0.000500762123638935
fusion_1.3,59.5,0.199984940315953,0.396224858727621,0.00232285456544537,0.000330039606306909
fusion_1.3,59.6,0.171847336126133,0.41791280290313,-0.00199002344055481,0.000191656249960937
fusion_1.3,59.7,0.167732001233407,0.341943861808672,-0.00584770686340755,-5.43400076157198e-05
fusion_1.3,59.8,0.183886721516787,0.302454354229446,0.00452070390535398,-0.000229668783894389
fusion_1.3,59.9,0.185759206361604,0.331992884502989,0.0131087104107669,0.000127953197106665
fusion_1.3,60,0.173677430012043,0.499218137777386,0.013401985046251,0.000586020979159272
fusion_1.3,60.1,0.181483459279063,0.590539660101677,0.0141421171952319,0.000875253900361392
fusion_1.3,60.2,0.187101817788169,0.646297024699309,0.00132359057480877,0.000887630645342243
fusion_1.3,60.3,0.2170083778711,0.673878211089674,0.00691232874651324,0.000597456180210359
fusion_1.3,60.4,0.181675159606081,0.670096209028593,0.00685506307922659,0.000605839077470978
fusion_1.3,60.5,0.175146323602069,0.114065160355372,0.00118472122008709,0.000572794655177916
fusion_1.3,60.6,0.171150797839586,0.140133945826311,0.00282716975705451,0.000446262720036044
fusion_1.3,60.7,0.175585916819376,-0.428801677195169,0.00734049132923276,0.000414524553153232
fusion_1.3,60.8,0.196863993206797,-0.478592389233204,0.00457133693977952,0.0004778085466749
fusion_1.3,60.9,0.198217924788092,-0.295295795495366,0.00205384552407316,0.000472366063666825
fusion_1.3,61,0.173553390165175,-0.162363465564857,0.000280622002590722,0.000340842857436651
fusion_1.3,61.1,0.171875258821167,0.344072880387509,0.000171889028276692,0.000183768724759088
