frameIdx,curb,roadMarking,pole,trafficSign
757,121,0,249,14
758,106,0,139,17
759,108,0,153,22
760,112,0,88,23
761,108,0,55,26
762,117,0,73,30
763,104,0,98,27
764,115,0,41,42
765,115,0,89,38
766,110,0,82,52
767,106,0,17,58
768,117,0,37,79
769,107,0,55,96
770,117,0,48,102
771,101,0,257,96
772,109,0,63,11
773,102,0,275,8
774,84,0,388,10
775,94,0,427,7
776,110,0,87,14
777,86,0,303,12
778,112,0,169,16
779,86,0,203,17
780,86,0,153,9
781,87,0,180,18
782,91,0,132,19
783,90,0,169,21
784,96,0,103,22
785,52,24,90,23
786,92,0,87,19
787,96,0,136,27
788,84,0,85,24
789,90,0,193,2
790,92,0,106,39
791,92,0,140,35
792,89,0,104,32
793,84,0,85,43
794,84,0,74,37
795,88,0,130,52
796,92,0,136,54
797,81,0,120,60
798,90,0,116,62
799,80,0,48,60
800,87,0,152,69
801,80,0,199,57
802,76,0,151,77
803,85,0,159,71
804,55,0,227,73
805,90,0,300,48
806,86,0,202,56
807,79,0,209,50
808,85,0,277,31
809,90,0,340,42
810,85,0,422,24
811,92,0,423,23
812,87,0,227,11
813,90,0,390,14
814,85,0,383,16
815,91,0,404,19
816,81,0,458,14
817,82,0,99,16
818,94,0,534,24
819,88,0,431,25
820,77,0,586,24
821,72,0,44,30
822,91,0,91,33
823,79,0,78,39
824,77,0,134,44
825,76,0,95,41
826,45,1,120,52
827,67,0,198,54
828,73,0,117,61
829,84,0,101,76
830,92,0,199,85
831,99,0,294,95
832,122,0,222,108
833,101,0,216,117
834,94,0,77,118
835,102,0,246,124
836,99,0,151,98
837,102,0,241,56
838,96,0,394,4
839,95,0,417,3
840,91,0,343,0
841,92,0,283,24
842,94,0,348,96
843,82,0,502,134
844,84,0,342,139
845,72,58,399,147
846,85,202,320,126
847,75,106,135,110
848,70,184,120,84
849,70,301,81,76
850,95,302,61,69
851,82,303,12,73
852,86,304,86,76
853,96,300,0,66
854,80,250,45,68
855,88,270,35,68
856,75,286,9,57
857,108,290,13,60
858,100,291,0,57
859,119,288,27,49
860,113,288,67,51
861,128,284,42,39
862,126,280,112,35
863,117,270,62,35
864,131,267,61,35
865,139,262,94,30
866,135,244,130,24
867,116,242,155,34
868,109,225,146,28
869,64,176,201,25
870,67,177,196,24
871,104,198,233,26
872,129,169,295,21
873,126,146,287,17
874,137,112,200,15
875,129,108,173,14
876,119,104,244,20
877,115,105,260,17
878,108,97,229,24
879,105,94,38,20
880,93,96,275,5
881,92,90,207,13
882,61,49,169,11
883,62,567,251,8
884,69,269,159,10
885,67,93,170,5
886,71,66,99,11
887,76,61,145,4
888,75,63,86,5
889,71,55,117,4
890,95,48,203,7
891,101,41,166,5
892,61,40,111,4
893,97,50,146,6
894,83,43,108,5
895,91,36,448,2
896,95,33,486,4
897,96,30,613,4
898,96,33,490,3
899,96,29,774,5
900,89,23,632,4
901,97,21,319,11
902,91,21,357,18
903,69,23,337,22
904,56,17,264,19
905,64,14,362,21
906,88,12,420,20
907,69,16,381,16
908,77,13,213,18
909,62,13,254,19
910,67,16,275,14
911,88,14,255,13
912,79,13,307,12
913,96,18,248,10
914,87,18,176,10
915,81,17,187,8
916,74,28,74,7
917,55,366,175,5
918,60,357,130,5
919,55,339,55,6
920,71,20,93,4
921,61,364,96,4
922,56,333,194,4
923,63,18,233,4
924,51,337,122,5
925,80,31,101,5
926,59,261,205,5
927,109,28,181,5
928,92,264,115,4
929,133,36,142,8
930,122,40,228,6
931,125,37,216,7
932,143,37,203,5
933,122,40,205,5
934,111,41,283,3
935,127,45,38,4
936,92,47,418,4
937,116,41,74,4
938,90,35,399,5
939,108,36,342,3
940,91,29,183,4
941,115,29,156,5
942,116,30,199,4
943,127,26,137,4
944,99,29,185,6
945,89,27,78,5
946,88,28,119,6
947,104,26,106,7
948,94,35,91,5
949,111,32,95,7
950,89,30,101,8
951,92,317,36,7
952,83,308,74,10
953,85,32,43,12
954,42,266,83,14
955,53,179,76,16
956,69,102,18,18
957,59,216,22,24
958,60,26,42,28
959,62,263,16,35
960,73,50,12,36
961,75,236,83,55
962,64,266,41,69
963,72,321,0,79
964,80,37,166,87
965,89,33,387,2
966,74,34,296,0
967,73,29,520,0
968,56,405,469,2
969,99,36,266,2
970,90,37,243,3
971,80,50,261,1
972,114,41,322,1
973,70,40,322,1
974,95,45,228,1
975,107,50,189,0
976,121,42,186,1
977,118,44,153,0
978,121,49,195,0
979,116,48,207,1
980,87,56,288,0
981,107,56,364,0
982,90,56,416,0
983,100,42,227,0
984,117,45,358,3
985,111,38,339,13
986,108,42,262,37
987,102,42,235,59
988,118,38,274,68
989,110,33,121,60
990,93,40,107,56
991,143,36,81,56
992,121,34,83,55
993,129,39,79,43
994,110,41,516,37
995,56,43,520,32
996,94,36,388,25
997,83,42,80,26
998,110,44,85,22
999,113,48,76,16
1000,123,50,97,12
1001,102,50,136,10
1002,86,55,210,9
1003,90,55,313,7
1004,119,46,347,7
1005,100,50,261,8
1006,101,46,494,5
1007,85,47,336,10
1008,88,46,252,6
1009,98,46,281,7
1010,82,48,393,6
1011,95,53,248,8
1012,105,48,282,7
1013,109,52,209,9
1014,113,46,144,5
1015,95,43,150,9
1016,92,47,146,9
1017,86,48,117,8
1018,100,52,104,11
1019,72,56,55,9
1020,88,55,97,12
1021,98,51,135,11
1022,90,50,198,17
1023,99,56,163,17
1024,51,396,208,21
1025,36,395,247,21
1026,54,401,252,22
1027,64,386,233,32
1028,69,51,227,35
1029,78,52,146,44
1030,86,55,315,49
1031,79,52,270,57
1032,113,56,262,76
1033,110,61,317,62
1034,108,53,445,43
1035,119,59,308,0
1036,136,64,345,0
1037,114,66,254,0
1038,126,69,228,1
1039,129,73,297,1
1040,131,71,364,1
1041,124,75,325,0
1042,127,76,166,1
1043,110,89,140,1
1044,119,87,139,0
1045,138,88,213,1
1046,127,92,201,0
1047,128,86,105,0
1048,129,90,124,0
1049,127,87,127,0
1050,127,87,92,0
1051,131,85,98,0
1052,127,84,76,0
1053,129,92,96,0
1054,132,88,208,0
1055,128,89,117,0
1056,127,94,150,0
1057,133,95,211,0
1058,118,97,245,5
1059,125,92,339,20
1060,133,97,359,23
1061,136,98,211,23
1062,133,81,272,26
1063,112,72,281,25
1064,118,70,78,26
1065,120,67,77,21
1066,123,66,185,20
1067,117,66,132,17
1068,131,60,175,14
1069,133,62,165,11
1070,131,62,148,10
1071,134,59,66,8
1072,126,58,179,7
1073,127,56,197,7
1074,120,55,234,6
1075,122,50,237,4
1076,128,47,287,4
1077,142,37,424,3
1078,118,43,525,4
1079,123,43,756,4
1080,88,47,770,4
1081,138,46,911,3
1082,144,51,690,4
1083,128,53,889,3
1084,123,55,786,3
1085,127,54,448,3
1086,134,54,418,2
1087,133,47,500,2
1088,117,45,546,3
1089,130,47,551,2
1090,124,39,431,2
1091,132,47,368,2
1092,130,43,443,2
1093,137,45,283,1
1094,131,45,196,1
1095,130,57,204,3
1096,132,56,156,2
1097,130,50,151,2
1098,134,52,212,4
1099,128,50,266,3
1100,124,45,429,3
1101,127,46,403,1
1102,128,45,415,3
1103,119,44,337,2
1104,113,40,498,2
1105,116,52,354,2
1106,123,47,448,1
1107,112,46,423,3
1108,99,39,34,3
1109,94,40,138,5
1110,94,40,351,5
1111,113,40,380,3
1112,126,38,326,5
