variant,frame,candidateCount,fineCount,fineShared,baselineCount,baselineShared,fineRecallTol,baselineRecallTol,baselinePrecisionTolCount
subset,981,24,4,4,10,5,4,5,6
subset,991,18,1,1,6,6,1,6,7
subset,1001,23,1,1,5,5,1,5,5
subset,1011,24,2,2,14,8,2,9,9
subset,1021,24,5,5,14,10,5,11,13
subset,1031,19,3,1,13,4,1,6,5
subset,1041,24,1,1,10,5,1,7,5
subset,1051,20,2,2,8,3,2,5,5
subset,1061,21,1,1,9,6,1,7,7
subset,1071,27,4,4,15,8,4,11,9
subset,1081,31,6,5,18,12,5,13,13
subset,1091,37,5,5,18,12,5,13,12
subset,1101,44,10,10,18,13,10,16,18
subset,1111,35,4,4,15,10,4,11,11
subset,1121,21,3,3,15,9,3,12,10
subset,1131,17,1,1,12,5,1,5,7
subset,1141,20,0,0,9,7,0,7,8
subset,1151,30,1,1,20,11,1,13,13
subset,1161,19,6,6,10,7,6,10,8
height1p35,1,16,3,3,11,7,3,8,8
height1p35,11,19,4,4,10,8,4,9,10
height1p35,21,16,5,3,11,4,5,5,4
height1p35,31,11,1,1,13,4,1,5,4
height1p35,41,16,2,2,11,6,2,6,6
height1p35,51,17,6,6,8,6,6,6,6
height1p35,61,15,6,6,10,6,6,7,7
height1p35,71,17,8,8,13,7,8,9,8
height1p35,81,19,4,4,9,7,4,9,8
height1p35,91,21,4,4,11,7,4,8,8
height1p35,101,24,2,2,15,9,2,11,11
height1p35,111,27,3,3,16,10,3,13,12
height1p35,121,17,2,2,11,5,2,7,6
height1p35,131,16,0,0,8,3,0,3,4
height1p35,141,12,2,2,8,5,2,5,6
height1p35,151,15,6,6,8,7,6,8,8
height1p35,161,14,1,1,3,3,1,3,3
height1p35,171,11,3,3,6,4,3,4,4
height1p35,181,8,2,2,4,3,2,3,4
height1p35,191,11,3,3,4,4,3,4,5
height1p35,201,11,1,1,6,2,1,2,2
height1p35,211,17,2,2,5,3,2,5,4
height1p35,221,19,2,2,5,4,2,5,5
height1p35,231,12,1,1,3,2,1,2,2
height1p35,241,11,1,1,5,4,1,5,4
height1p35,251,15,2,2,3,1,2,1,2
height1p35,261,13,1,1,2,1,1,1,1
height1p35,271,16,2,2,3,2,2,3,3
height1p35,281,18,2,2,8,4,2,4,4
height1p35,291,29,4,4,6,5,4,6,5
height1p35,301,15,2,2,1,1,2,1,1
height1p35,311,26,4,4,6,3,4,4,3
height1p35,321,19,1,1,3,3,1,3,4
height1p35,331,15,4,4,9,6,4,7,7
height1p35,341,20,2,2,6,4,2,4,6
height1p35,351,18,3,3,7,4,3,4,4
height1p35,361,24,2,2,6,3,2,4,4
height1p35,371,29,1,1,5,3,1,3,4
height1p35,381,20,2,2,3,3,2,3,3
height1p35,391,14,1,1,2,2,1,2,3
height1p35,401,8,2,2,2,2,2,2,2
height1p35,411,9,2,2,2,2,2,2,2
height1p35,421,9,1,1,3,3,1,3,3
height1p35,431,12,2,2,3,2,2,3,3
height1p35,441,14,2,2,6,3,2,5,4
height1p35,451,12,2,2,4,3,2,3,4
height1p35,461,12,1,1,4,4,1,4,4
height1p35,471,8,1,1,3,3,1,3,3
height1p35,481,6,3,3,4,3,3,3,4
height1p35,491,8,1,1,6,4,1,4,4
height1p35,501,14,6,4,10,8,6,9,10
height1p35,511,14,4,4,8,7,4,8,8
height1p35,521,17,4,4,8,6,4,8,8
height1p35,531,12,2,2,4,2,2,2,3
height1p35,541,12,2,2,3,2,2,2,3
height1p35,551,28,0,0,10,8,0,8,8
height1p35,561,17,3,3,9,6,3,6,6
height1p35,571,15,0,0,5,4,0,4,4
height1p35,581,12,1,1,5,3,1,5,3
height1p35,591,18,1,1,2,1,1,1,1
height1p35,601,16,2,2,6,4,2,5,4
height1p35,611,20,2,2,6,5,2,5,5
height1p35,621,23,2,2,4,2,2,2,2
height1p35,631,15,2,2,5,4,2,5,5
height1p35,641,10,4,4,3,2,4,2,3
height1p35,651,14,2,2,3,2,2,2,3
height1p35,661,15,2,2,7,6,2,6,7
height1p35,671,18,2,2,8,5,2,5,7
height1p35,681,29,1,1,12,8,1,9,8
height1p35,691,23,1,1,8,5,1,7,5
height1p35,701,22,1,1,5,3,1,4,5
height1p35,711,22,3,3,5,5,3,5,5
height1p35,721,24,2,2,4,2,2,2,2
height1p35,731,25,1,1,9,5,1,7,7
height1p35,741,18,2,2,9,4,2,5,5
height1p35,751,21,4,4,6,6,4,6,6
height1p35,761,20,1,1,7,2,1,2,3
height1p35,771,17,3,3,5,4,3,4,5
height1p35,781,17,3,3,5,3,3,4,3
height1p35,791,25,4,4,15,10,4,14,10
height1p35,801,19,5,5,3,2,5,2,3
height1p35,811,16,4,4,12,5,4,7,6
height1p35,821,20,1,1,12,8,1,9,11
height1p35,831,24,5,5,12,9,5,9,10
height1p35,841,28,2,2,4,4,2,4,6
height1p35,851,25,4,3,5,5,4,5,5
height1p35,861,16,1,1,7,3,1,4,3
height1p35,871,15,2,2,7,4,2,5,4
height1p35,881,23,2,2,11,8,2,8,9
height1p35,891,28,6,6,12,10,6,10,11
height1p35,901,27,1,1,10,6,1,7,6
height1p35,911,28,5,5,9,7,5,8,7
height1p35,921,30,2,2,10,7,2,8,9
height1p35,931,40,5,5,10,9,5,10,10
height1p35,941,31,3,3,14,10,3,13,10
height1p35,951,33,3,3,9,6,3,6,7
