source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,weight,robustWeight,stepX,stepY,stepYawDeg
65,71,curb,1.5082778372553,NaN,0.00172314115876086,0.00308891817838214,0.00248840516154012,9.78720989280939e-05,-0.000977981017053574,2.56889718490663e-05
66,73,curb,11.5399483165943,NaN,0.000278212384882922,0.00144881834971728,0.000509001742140333,-6.68014437854586e-05,0.00053873801905135,0.000393421765202609
67,73,curb,0.85503696296144,NaN,0.000278212384882922,0.00259334994931641,0.00228126007897245,-8.62918423607911e-05,0.000635997284985862,0.000592740023143893
68,71,curb,1.00151139713503,NaN,0.00172314115876086,0.00363723339710171,0.00313489250542543,-0.000280144698067652,0.000157381094102663,0.00428204847667339
69,71,curb,1.54389252098027,NaN,0.00172314115876086,0.0025951923344952,0.00208111056791362,0.000280218380035434,1.42921791958552e-05,-0.00456626769099077
70,73,curb,4.01404308915977,NaN,0.000278212384882922,0.00160213241919766,0.000975573420045442,-0.000150724907509168,0.000254047752834838,0.00224397957008121
71,73,curb,0.623817334854226,NaN,0.000278212384882922,0.00303792688615517,0.00276222688406259,-0.000177865200318108,0.000264408718969685,0.00269795433933969
72,71,curb,0.952007849977928,NaN,0.00172314115876086,0.0040157418562582,0.00348491519648797,-0.000372540806382401,-0.000474989869377329,0.00682245199789458
73,71,curb,1.53229025659768,NaN,0.00172314115876086,0.00226554222286723,0.00181946938832254,0.000324840431130489,0.000389409534934116,-0.00590807690808383
74,73,curb,2.99260646975611,NaN,0.000278212384882922,0.00126699776702416,0.000856764384571919,-0.000178337827196437,-7.44102725724214e-05,0.00318404777850972
75,68,curb,14.7017200331731,NaN,0.00097718142650001,0.00170145927931723,0.000507553579319293,-0.00045869254020384,-0.000939774648194436,0.00903976877741985
76,71,curb,0.920045474785665,NaN,0.00172314115876086,0.00363335236608548,0.00316712807023209,-0.000492796150793982,-0.00109467380349362,0.00979357391073822
77,71,curb,1.41464997115726,NaN,0.00172314115876086,0.0027267585300273,0.00222348585738449,0.000560398477074556,0.00124573619340749,-0.0111385408818051
78,73,curb,9.50777437407757,NaN,0.000278212384882922,0.00088600076156383,0.000351414141890713,-0.000222690185131829,-0.000463193555061696,0.00449822415015398
79,71,curb,17.5612379945415,NaN,0.00172314115876086,0.00174986189728222,0.000459305679970146,-0.000566633820217957,-0.00143878308008626,0.0115578857154807
80,71,curb,0.767981783885866,NaN,0.00172314115876086,0.00308880537251834,0.00275079562368861,-0.000504146863428591,-0.0013353382863645,0.0103743490798671
81,71,curb,2.02623611774752,NaN,0.00172314115876086,0.00200997241355873,0.00151787931204663,0.000585598263751484,0.00158736197993732,-0.0121102748566395
82,71,curb,0.923509532614182,NaN,0.00172314115876086,0.00317694452923825,0.00276794827099131,-0.000668982863072893,-0.00198252766068811,0.0141135276708242
83,71,curb,1.64140681171777,NaN,0.00172314115876086,0.00208737190877263,0.00165320008727178,0.000671673399158549,0.00200693219280909,-0.0141973786735714
84,73,curb,33.8581007275511,NaN,0.000278212384882922,0.000851570692752894,0.000132699298474873,-0.000271319980511277,-0.00082886631108107,0.00585365308815607
85,73,curb,19.0832322467856,NaN,0.000278212384882922,0.000829373858739585,0.000204616077673236,-0.000269630919104563,-0.000762643841229712,0.00573107816898894
86,71,curb,20.09447388448,NaN,0.00172314115876086,0.00127308465427606,0.000302028392144618,-0.000582281040052685,-0.00181291395030896,0.0124283487997884
87,71,curb,0.344496232865302,NaN,0.00172314115876086,0.00249981138149523,0.0023692213298235,-0.000585508301751736,-0.0018840835001479,0.0125979987700141
88,71,curb,1.7200290406769,NaN,0.00172314115876086,0.00195368534363614,0.00153205632443829,0.00079698363349222,0.00257318410066021,-0.0171623576040334
89,74,curb,24.3618756465931,NaN,0.000642801192980202,0.000856347007679154,0.000174839623020303,-0.000429678661459331,-0.00135533274074291,0.00885494958032055
