variant,population,samples,rmseMps,medianAbsMps,biasMps,estimatedMeanMps,referenceMeanMps,dynamicBranchRmseMps,meanDynamicParticipation,runtimeSeconds,designStatus
actual,all,11690,0.269555058665335,0.255599411706053,-0.178403611488338,0.0314997363190709,0.209903347807409,0.271116559076349,0.917349653366712,1.642823,Original certified design; grid certificate covers LPV branch only
oracle_rate,moving,10787,0.274237629487106,0.263569827819547,-0.201173611748927,0.0277583338446542,0.228931945593582,0.276328149925876,0.994142713184169,1.562632,Diagnostic perturbation; certificate not transferred
oracle_rate,straight,6303,0.273521702257448,0.278074669192327,-0.263244112743318,0.00660803774861077,0.269852150491929,0.272784989979549,0.999999999882717,1.562632,Diagnostic perturbation; certificate not transferred
oracle_rate,turning,4484,0.275240834499563,0.241013495753604,-0.113923306716001,0.0574885560331826,0.171411862749184,0.281233179746977,0.985909332706705,1.562632,Diagnostic perturbation; certificate not transferred
oracle_rate,moving_first60,5098,0.306027250272654,0.290463984769462,-0.258568093926329,0.0173534727313295,0.275921566657658,0.308325049328071,0.987606404051955,1.562632,Diagnostic perturbation; certificate not transferred
oracle_rate,moving_later,5689,0.242231656756844,0.245047328202803,-0.149741537546011,0.0370822891893069,0.186823826735318,0.244117875296332,0.999999999870059,1.562632,Diagnostic perturbation; certificate not transferred
oracle_ay_rate,all,11690,0.272620092258141,0.259238476189167,-0.178104512399711,0.031798835407699,0.209903347807409,0.270601403697266,0.917349653305828,1.58992,Diagnostic perturbation; certificate not transferred
oracle_ay_rate,moving,10787,0.277881740678,0.266293076007686,-0.200441009314808,0.0284909362787734,0.228931945593582,0.276327988833485,0.994142713186719,1.58992,Diagnostic perturbation; certificate not transferred
oracle_ay_rate,straight,6303,0.274366505758655,0.276896590587247,-0.263562175371486,0.00628997512044217,0.269852150491929,0.27435739447224,0.999999999887081,1.58992,Diagnostic perturbation; certificate not transferred
oracle_ay_rate,turning,4484,0.282749100103516,0.245494629075754,-0.111713821612926,0.059698041136258,0.171411862749184,0.279074457822363,0.985909332706705,1.58992,Diagnostic perturbation; certificate not transferred
oracle_ay_rate,moving_first60,5098,0.313131626820695,0.293681006494936,-0.25937239713061,0.0165491695270485,0.275921566657658,0.310335606580034,0.987606404051955,1.58992,Diagnostic perturbation; certificate not transferred
oracle_ay_rate,moving_later,5689,0.241969736991883,0.248222336235385,-0.147631690438915,0.0391921362964027,0.186823826735318,0.241823763949729,0.999999999874893,1.58992,Diagnostic perturbation; certificate not transferred
oracle_motion,all,11690,0.272680434433398,0.259174969972503,-0.178137724410509,0.0317656233969005,0.209903347807409,0.270767386113742,0.917732334164678,1.586657,Diagnostic perturbation; certificate not transferred
oracle_motion,moving,10787,0.277925612673394,0.26630804151664,-0.200540124598657,0.0283918209949242,0.228931945593582,0.276480270283284,0.994557413328794,1.586657,Diagnostic perturbation; certificate not transferred
oracle_motion,straight,6303,0.274360733683201,0.276813293110908,-0.26355174458176,0.00630040591016857,0.269852150491929,0.274367906844988,0.999999999888995,1.586657,Diagnostic perturbation; certificate not transferred
oracle_motion,turning,4484,0.282860683725289,0.24571693414145,-0.111966921932847,0.0594449408163369,0.171411862749184,0.279422546134994,0.986906962149279,1.586657,Diagnostic perturbation; certificate not transferred
oracle_motion,moving_first60,5098,0.313026220804316,0.293772703543647,-0.259551873595256,0.0163696930624017,0.275921566657658,0.310565853083015,0.988483879615019,1.586657,Diagnostic perturbation; certificate not transferred
oracle_motion,moving_later,5689,0.242187393443521,0.248536500286661,-0.147658792838302,0.0391650338970158,0.186823826735318,0.241888907220026,0.999999999877014,1.586657,Diagnostic perturbation; certificate not transferred
front_07,all,11690,0.267230325513633,0.255801992640524,-0.18063028668312,0.0292730611242898,0.209903347807409,0.268531763397167,0.917349653366712,1.519363,Diagnostic perturbation; certificate not transferred
front_07,moving,10787,0.271815627938075,0.262551751752474,-0.203572134072728,0.0253598115208539,0.228931945593582,0.273578440308964,0.994142713252699,1.519363,Diagnostic perturbation; certificate not transferred
front_07,straight,6303,0.274045398505655,0.280044009389097,-0.263738472752224,0.0061136777397046,0.269852150491929,0.273442165931196,1,1.519363,Diagnostic perturbation; certificate not transferred
front_07,turning,4484,0.268650029182238,0.237573575183138,-0.118998442570305,0.0524134201788787,0.171411862749184,0.273769881684636,0.985909332706705,1.519363,Diagnostic perturbation; certificate not transferred
front_07,moving_first60,5098,0.305374988718332,0.292368178632351,-0.259067755881269,0.0168538107763887,0.275921566657658,0.307078658176587,0.987606404051955,1.519363,Diagnostic perturbation; certificate not transferred
front_07,moving_later,5689,0.237751654627983,0.241354039250479,-0.153841657718369,0.0329821690169487,0.186823826735318,0.239611775906403,1,1.519363,Diagnostic perturbation; certificate not transferred
front_13,all,11690,0.271054549656464,0.255967786343922,-0.177035933220713,0.032867414586696,0.209903347807409,0.272769434296685,0.917349653366712,1.531541,Diagnostic perturbation; certificate not transferred
front_13,moving,10787,0.275888710071987,0.263262756952636,-0.199676890541113,0.0292550550524686,0.228931945593582,0.278084595673334,0.994142713252699,1.531541,Diagnostic perturbation; certificate not transferred
front_13,straight,6303,0.273014047666773,0.276886053542103,-0.262578820811456,0.00727332968047255,0.269852150491929,0.27234023143703,1,1.531541,Diagnostic perturbation; certificate not transferred
front_13,turning,4484,0.279879603976426,0.245650843875515,-0.111257874819888,0.0601539879292954,0.171411862749184,0.285964210759037,0.985909332706705,1.531541,Diagnostic perturbation; certificate not transferred
