frame,milliseconds,legacyMilliseconds,legacyCount,candidateCount,retainedLegacy,fineCount,fineMatched,legacyFineMatched,subsetCount,subsetFineMatched,coarseCount,coarseShared,coarseMatchedNewTolerant,coarseMatchedOldTolerant
246,299.906,NaN,6,9,6,0,NaN,NaN,NaN,NaN,5,5,6,5
247,328.847,NaN,3,7,3,0,NaN,NaN,NaN,NaN,3,3,4,3
248,342.02,NaN,3,9,3,0,NaN,NaN,NaN,NaN,5,2,3,2
249,359.86,NaN,2,9,2,0,NaN,NaN,NaN,NaN,4,2,3,2
250,363.972,NaN,4,5,4,0,NaN,NaN,NaN,NaN,5,4,4,4
251,348.6,NaN,3,8,3,2,2,2,NaN,NaN,3,1,2,1
252,350.721,NaN,4,8,4,0,NaN,NaN,NaN,NaN,4,1,1,1
253,347.803,NaN,6,9,6,0,NaN,NaN,NaN,NaN,3,3,4,3
254,369.117,NaN,6,8,6,0,NaN,NaN,NaN,NaN,6,5,6,6
255,385.886,NaN,4,7,4,0,NaN,NaN,NaN,NaN,2,2,2,2
256,393.207,NaN,4,13,4,0,NaN,NaN,NaN,NaN,5,3,3,4
257,380.952,NaN,5,12,5,0,NaN,NaN,NaN,NaN,4,4,4,4
258,383.774,NaN,3,10,3,0,NaN,NaN,NaN,NaN,3,2,2,2
259,377.462,NaN,4,9,4,0,NaN,NaN,NaN,NaN,2,2,3,2
260,382.549,NaN,2,6,2,0,NaN,NaN,NaN,NaN,2,2,3,2
261,381.784,NaN,2,7,2,1,1,1,NaN,NaN,2,2,2,2
262,377.662,NaN,3,11,3,0,NaN,NaN,NaN,NaN,5,5,5,5
263,392.147,NaN,4,6,4,0,NaN,NaN,NaN,NaN,8,3,3,4
264,406.124,NaN,3,6,3,0,NaN,NaN,NaN,NaN,2,2,3,2
265,411.286,NaN,1,11,1,0,NaN,NaN,NaN,NaN,3,2,2,3
266,382.602,NaN,2,11,2,0,NaN,NaN,NaN,NaN,1,1,2,1
267,384.102,NaN,3,17,3,0,NaN,NaN,NaN,NaN,2,2,3,2
268,374.306,NaN,3,17,3,0,NaN,NaN,NaN,NaN,1,1,2,1
269,367.158,NaN,3,13,3,0,NaN,NaN,NaN,NaN,1,1,2,1
270,349.118,NaN,4,10,4,0,NaN,NaN,NaN,NaN,2,1,2,1
271,333.628,NaN,3,10,3,2,2,2,NaN,NaN,3,3,4,3
272,345.55,NaN,4,14,4,0,NaN,NaN,NaN,NaN,2,2,3,2
273,348.208,NaN,3,12,3,0,NaN,NaN,NaN,NaN,4,4,7,4
274,352.168,NaN,4,13,4,0,NaN,NaN,NaN,NaN,4,4,4,4
275,354.429,NaN,3,11,3,0,NaN,NaN,NaN,NaN,4,3,4,3
276,362.025,NaN,4,10,4,0,NaN,NaN,NaN,NaN,3,3,5,3
277,351.887,NaN,4,15,4,0,NaN,NaN,NaN,NaN,4,4,6,4
278,357.811,NaN,4,12,4,0,NaN,NaN,NaN,NaN,8,6,7,6
279,338.991,NaN,3,11,3,0,NaN,NaN,NaN,NaN,10,7,8,7
280,342.213,NaN,4,18,4,0,NaN,NaN,NaN,NaN,2,2,2,2
281,343.545,NaN,5,11,5,2,2,2,NaN,NaN,8,6,7,6
282,326.182,NaN,7,12,7,0,NaN,NaN,NaN,NaN,7,7,9,7
283,315.658,NaN,5,13,5,0,NaN,NaN,NaN,NaN,7,5,7,6
284,318.056,NaN,8,25,8,0,NaN,NaN,NaN,NaN,10,6,10,8
285,304.316,NaN,4,14,4,0,NaN,NaN,NaN,NaN,3,3,4,3
286,285.531,NaN,6,25,6,0,NaN,NaN,NaN,NaN,6,4,6,4
287,279.571,NaN,7,29,7,0,NaN,NaN,NaN,NaN,8,5,8,5
288,270.257,NaN,6,38,6,0,NaN,NaN,NaN,NaN,8,5,12,6
289,262.978,NaN,6,26,6,0,NaN,NaN,NaN,NaN,4,4,5,4
290,264.772,NaN,9,29,9,0,NaN,NaN,NaN,NaN,4,4,6,4
291,254.263,NaN,7,40,7,4,4,4,NaN,NaN,6,6,6,6
292,254.51,NaN,8,36,8,0,NaN,NaN,NaN,NaN,7,6,8,7
293,256.169,NaN,8,42,8,0,NaN,NaN,NaN,NaN,6,5,7,6
294,254.686,NaN,7,43,7,0,NaN,NaN,NaN,NaN,6,4,5,4
295,256.123,NaN,6,49,6,0,NaN,NaN,NaN,NaN,8,4,7,6
296,273.702,NaN,8,56,8,0,NaN,NaN,NaN,NaN,7,7,8,7
297,274.364,NaN,8,37,8,0,NaN,NaN,NaN,NaN,6,4,4,4
298,272.783,NaN,8,48,8,0,NaN,NaN,NaN,NaN,6,6,6,6
299,275.4,NaN,4,37,4,0,NaN,NaN,NaN,NaN,7,4,4,5
300,290.845,NaN,5,39,5,0,NaN,NaN,NaN,NaN,3,3,3,3
301,292.289,NaN,3,34,3,2,2,1,NaN,NaN,1,1,1,1
302,286.08,NaN,5,37,5,0,NaN,NaN,NaN,NaN,2,2,3,2
