frame,mechanism,class,mode,start,accepted,reason,referenceScore,optimizedScore,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM
260,wideSearch,roadMarking,xyz,1,1,accepted,0.194203388041582,0.573368139782437,4.16755312878609,0.319846872486193,4.16752990447374,0.0139131797893055
260,wideSearch,roadMarking,xyz,2,1,accepted,0.194203388041582,0.573368139782983,4.16754862923495,0.319844188705044,4.16752540467484,0.0139132464917544
260,wideSearch,roadMarking,xyz,3,1,accepted,0.194203388041582,0.573368139782728,4.16754981623715,0.319846226792639,4.16752659145935,0.013913313678541
260,wideSearch,pole,xy,1,0,degenerateGeometry,0.368951168472503,0.513454674461047,0.326576126581571,-1.64329578068221,-0.0283769559326159,0.325340920919918
260,wideSearch,pole,xy,2,0,degenerateGeometry,0.368951168472503,0.513454674461117,0.326569385608212,-1.64324671528948,-0.0283801328050984,0.325333877237662
260,wideSearch,pole,xy,3,0,degenerateGeometry,0.368951168472503,0.513454674461039,0.326566281355156,-1.64322378073849,-0.028381619166993,0.325330631529825
260,wideSearch,pole,xyz,1,0,searchBoundary,0.264901338887285,0.37108361218957,1.61566391044104,-10,0.666611624690576,1.47173326840464
260,wideSearch,pole,xyz,2,0,searchBoundary,0.264901338887285,0.372875283412836,2.2445689951959,-14,1.05685539053055,1.98018854094787
260,wideSearch,pole,xyz,3,0,searchBoundary,0.264901338887285,0.371902664328275,1.93114146194349,-12,0.857832062565836,1.73015360545567
550,original_fixed,all,xy,1,0,searchBoundary,0.299133090873668,0.413664510052211,3.61710173559898,-0.475028332245441,3.61678986793627,-0.0474975459017963
550,original_fixed,all,xy,2,0,searchBoundary,0.299133090873668,0.405907114653634,2.78286126091615,-0.489633183015904,2.78284723995031,0.00883383318630837
550,original_fixed,all,xy,3,0,searchBoundary,0.299133090873668,0.411039673706393,3.19969161888705,-0.478898768582211,3.19963016856631,-0.0198302893658988
550,original_fixed,all,xyz,1,0,searchBoundary,0.158940955348539,0.330350204165903,3.62173445686742,-0.602024300812869,3.62156669555752,-0.0348589398757249
550,original_fixed,all,xyz,2,0,searchBoundary,0.158940955348539,0.301343810242359,2.78523333318818,-0.575276640613889,2.78519272795699,0.0150395624287405
550,original_fixed,all,xyz,3,0,searchBoundary,0.158940955348539,0.317251104306982,3.20279776738379,-0.572127250154777,3.20277710668646,-0.0115040707449934
550,original_futureGrid,all,xy,1,0,searchBoundary,0.290515234697661,0.386425611461992,3.61377751989547,-0.34940552486711,3.61333358848619,-0.0566422247030842
550,original_futureGrid,all,xy,2,0,searchBoundary,0.290515234697661,0.387746079247156,2.76523271341396,-0.205502027136645,2.76496497242474,-0.0384793528919974
550,original_futureGrid,all,xy,3,1,accepted,0.290515234697661,0.389595262395732,2.80798617216591,-0.160160622856114,2.80728510391965,-0.0627430345602717
550,original_futureGrid,all,xyz,1,0,searchBoundary,0.118743402316797,0.203132131936543,3.60439763751364,-0.329260892722571,3.60344643195397,-0.0828018197390921
550,original_futureGrid,all,xyz,2,0,searchBoundary,0.118743402316797,0.194127192163063,2.76081762092054,-0.294954267099309,2.7603523542719,-0.050683490910943
550,original_futureGrid,all,xyz,3,1,accepted,0.118743402316797,0.194999186167637,2.81628250613716,-0.230180712583924,2.81538628595597,-0.071043755709001
550,pitchCorrected_fixed,all,xy,1,0,searchBoundary,0.299742038796068,0.414762112524441,3.61720389924663,-0.493339211041232,3.61689570695205,-0.0472175153608774
550,pitchCorrected_fixed,all,xy,2,0,searchBoundary,0.299742038796068,0.405801804790246,2.78218244871294,-0.489403284275535,2.78217351317808,0.00705127624296598
550,pitchCorrected_fixed,all,xy,3,0,searchBoundary,0.299742038796068,0.411558867825659,3.1976650351158,-0.46788426321277,3.19756499100632,-0.0252943687976992
550,pitchCorrected_fixed,all,xyz,1,0,searchBoundary,0.132995322025238,0.184301889098436,3.60734183758556,-0.438396970149459,3.60657178027641,-0.074532723746225
550,pitchCorrected_fixed,all,xyz,2,0,searchBoundary,0.132995322025238,0.179225418093616,2.7701034622892,-0.413867597030403,2.76998895593286,-0.0251868179137543
550,pitchCorrected_fixed,all,xyz,3,0,searchBoundary,0.132995322025238,0.182323844923867,3.18823978990021,-0.423805752034668,3.18783108220908,-0.0510484985541604
