frame,geometry,mode,class,longitudinalOffsetM,yawOffsetDeg,score
260,original,xy,curb,-7.3,0,0.16372560224914
260,original,xy,curb,-7.2,0,0.167257417215068
260,original,xy,curb,-7.1,0,0.170840379537387
260,original,xy,curb,-7,0,0.174474460509029
260,original,xy,curb,-6.9,0,0.178159563243506
260,original,xy,curb,-6.8,0,0.181895519474423
260,original,xy,curb,-6.7,0,0.185682086985194
260,original,xy,curb,-6.6,0,0.189518947258105
260,original,xy,curb,-6.5,0,0.193405703555282
260,original,xy,curb,-6.4,0,0.197341879505573
260,original,xy,curb,-6.3,0,0.20132691799471
260,original,xy,curb,-6.2,0,0.20536018057271
260,original,xy,curb,-6.1,0,0.209440947191422
260,original,xy,curb,-6,0,0.21356841650051
260,original,xy,curb,-5.9,0,0.217741706450549
260,original,xy,curb,-5.8,0,0.221959855269044
260,original,xy,curb,-5.7,0,0.226221823043824
260,original,xy,curb,-5.6,0,0.230526493329867
260,original,xy,curb,-5.5,0,0.234872675461741
260,original,xy,curb,-5.4,0,0.239259106993555
260,original,xy,curb,-5.3,0,0.24368445645752
260,original,xy,curb,-5.2,0,0.248147326553862
260,original,xy,curb,-5.1,0,0.25264625746376
260,original,xy,curb,-5,0,0.257179730484705
260,original,xy,curb,-4.9,0,0.26174617178591
260,original,xy,curb,-4.8,0,0.266343956635337
260,original,xy,curb,-4.7,0,0.270971413382604
260,original,xy,curb,-4.6,0,0.275626827935615
260,original,xy,curb,-4.5,0,0.280308448397875
260,original,xy,curb,-4.4,0,0.285014489454554
260,original,xy,curb,-4.3,0,0.289743137325263
260,original,xy,curb,-4.2,0,0.294492554563564
260,original,xy,curb,-4.1,0,0.299260884897591
260,original,xy,curb,-4,0,0.304046258370711
260,original,xy,curb,-3.9,0,0.308846796380631
260,original,xy,curb,-3.8,0,0.313660616820846
260,original,xy,curb,-3.7,0,0.318485839216278
260,original,xy,curb,-3.6,0,0.323320590253511
260,original,xy,curb,-3.5,0,0.328163008785125
260,original,xy,curb,-3.4,0,0.333011251357672
260,original,xy,curb,-3.3,0,0.337863497814941
260,original,xy,curb,-3.2,0,0.342717956413408
260,original,xy,curb,-3.1,0,0.347572869595998
260,original,xy,curb,-3,0,0.352426519485364
260,original,xy,curb,-2.9,0,0.357277233249526
260,original,xy,curb,-2.8,0,0.362123388797832
260,original,xy,curb,-2.7,0,0.366963420230616
260,original,xy,curb,-2.6,0,0.37179582317953
260,original,xy,curb,-2.5,0,0.376619160040283
260,original,xy,curb,-2.4,0,0.381432065464102
260,original,xy,curb,-2.3,0,0.386233250859042
260,original,xy,curb,-2.2,0,0.391021509291094
260,original,xy,curb,-2.1,0,0.395795720100116
260,original,xy,curb,-2,0,0.400554852398897
260,original,xy,curb,-1.9,0,0.405297968950767
260,original,xy,curb,-1.8,0,0.410024229140574
260,original,xy,curb,-1.7,0,0.414732891064296
260,original,xy,curb,-1.6,0,0.419423313407682
260,original,xy,curb,-1.5,0,0.424094956271809
260,original,xy,curb,-1.4,0,0.428747380963637
260,original,xy,curb,-1.3,0,0.433380248898993
260,original,xy,curb,-1.2,0,0.437993319924458
260,original,xy,curb,-1.1,0,0.442586448463945
260,original,xy,curb,-1,0,0.447159579324288
260,original,xy,curb,-0.9,0,0.451712742260879
260,original,xy,curb,-0.799999999999999,0,0.456246044268302
260,original,xy,curb,-0.699999999999999,0,0.460759661594319
260,original,xy,curb,-0.6,0,0.465253829939578
260,original,xy,curb,-0.5,0,0.469728832886983
260,original,xy,curb,-0.399999999999999,0,0.474184989637641
260,original,xy,curb,-0.299999999999999,0,0.478622641113146
260,original,xy,curb,-0.199999999999999,0,0.483042134526977
260,original,xy,curb,-0.0999999999999996,0,0.487443806945261
260,original,xy,curb,0,0,0.491827968291115
260,original,xy,curb,0.100000000000001,0,0.496194882097054
260,original,xy,curb,0.200000000000001,0,0.500544746500984
260,original,xy,curb,0.300000000000001,0,0.504877674593513
260,original,xy,curb,0.4,0,0.509193673118908
260,original,xy,curb,0.5,0,0.513492622194501
260,original,xy,curb,0.600000000000001,0,0.517774254423452
260,original,xy,curb,0.700000000000001,0,0.52203813388637
260,original,xy,curb,0.800000000000001,0,0.52628363583664
260,original,xy,curb,0.9,0,0.530509927425837
260,original,xy,curb,1,0,0.534715948476608
260,original,xy,curb,1.1,0,0.538900393928105
260,original,xy,curb,1.2,0,0.543061698279811
260,original,xy,curb,1.3,0,0.547198020274214
260,original,xy,curb,1.4,0,0.551307230766663
260,original,xy,curb,1.5,0,0.555386902778836
260,original,xy,curb,1.6,0,0.559434302629014
260,original,xy,curb,1.7,0,0.563446385112885
260,original,xy,curb,1.8,0,0.567419790844316
260,original,xy,curb,1.9,0,0.571350846136054
260,original,xy,curb,2,0,0.575235566260976
260,original,xy,curb,2.1,0,0.579069662194328
260,original,xy,curb,2.2,0,0.582848549522413
260,original,xy,curb,2.3,0,0.586567361087662
260,original,xy,curb,2.4,0,0.590220963352129
260,original,xy,curb,2.5,0,0.593803974263533
260,original,xy,curb,2.6,0,0.59731078546665
260,original,xy,curb,2.7,0,0.600735587370694
260,original,xy,curb,2.8,0,0.604072395486961
260,original,xy,curb,2.9,0,0.607315080818133
260,original,xy,curb,3,0,0.610457401876736
260,original,xy,curb,3.1,0,0.613493038239515
260,original,xy,curb,3.2,0,0.616415626222737
260,original,xy,curb,3.3,0,0.619218796301118
260,original,xy,curb,3.4,0,0.621896210468668
260,original,xy,curb,3.5,0,0.624441600919156
260,original,xy,curb,3.6,0,0.626848809590815
260,original,xy,curb,3.7,0,0.62911182595554
260,original,xy,curb,3.8,0,0.631224825784639
260,original,xy,curb,3.9,0,0.633182209069144
260,original,xy,curb,4,0,0.634978635222798
260,original,xy,curb,4.1,0,0.636609058355279
260,original,xy,curb,4.2,0,0.638068760025694
260,original,xy,curb,4.3,0,0.639353379191139
260,original,xy,curb,4.4,0,0.640458940161596
260,original,xy,curb,4.5,0,0.64138187810679
260,original,xy,curb,4.6,0,0.64211906031987
260,original,xy,curb,4.7,0,0.642667804990731
260,original,xy,curb,4.8,0,0.643025897092627
260,original,xy,curb,4.9,0,0.643191598960303
260,original,xy,curb,5,0,0.643163658748919
260,original,xy,curb,5.1,0,0.64294131520166
260,original,xy,curb,5.2,0,0.642524297141568
260,original,xy,curb,5.3,0,0.641912821034686
260,original,xy,curb,5.4,0,0.641107584429058
260,original,xy,curb,5.5,0,0.640109755246848
260,original,xy,curb,5.6,0,0.638920958495111
260,original,xy,curb,5.7,0,0.637543260237222
260,original,xy,curb,5.8,0,0.635979147417456
260,original,xy,curb,5.9,0,0.634231505994975
260,original,xy,curb,6,0,0.632303597261638
260,original,xy,curb,6.1,0,0.630199030302468
