scenario,timeSeconds,positionErrorM,yawErrorDeg
fusion,19.5,0.580612310758265,1.11854357218753
fusion,19.6,0.758839264538902,1.37188176724807
fusion,19.7,0.833460013539341,1.76784715385421
fusion,19.8,0.359108123375992,1.77984943725584
fusion,19.9,0.403239399126967,1.62311531746295
fusion,20,0.381102574589941,1.59728175751737
fusion,20.1,0.353181077849259,1.91622260232779
fusion,20.2,0.458637966961886,1.65124502987584
fusion,20.3,0.377932674216969,1.79997526878322
fusion,20.4,0.424260713182397,1.70807628278026
fusion,20.5,0.40717842520444,1.51414815158149
fusion,20.6,0.362062416018066,1.44698541164763
fusion,20.7,0.176718101436301,0.967505045250767
fusion,20.8,0.0874214634318396,0.622800468210195
fusion,20.9,0.120627676965278,0.622023295855574
fusion,21,0.149569214297307,0.599802395448803
fusion,21.1,0.145974225478665,0.65003528793794
fusion,21.2,0.23485117176275,0.284466755681824
fusion,21.3,0.272726916684021,0.28599391424523
fusion,21.4,0.268976332359234,0.191530338715735
fusion,21.5,0.24526463145843,0.0586601100160383
fusion,21.6,0.306041852449126,0.0464502715748475
fusion,21.7,0.271387320497629,0.0274664935337218
fusion,21.8,0.162911871956971,0.0909043772166161
fusion,21.9,0.213622448644263,0.0295130277933216
fusion,22,0.268120839611111,-0.0498995678570263
fusion,22.1,0.381922319440855,0.00256658291653455
fusion,22.2,0.329086902339555,-0.00827225089889441
fusion,22.3,0.302397738505502,-0.011673096139783
fusion,22.4,0.258480753758636,0.0642806754906422
fusion,22.5,0.219637175933223,0.0675863746808983
fusion,22.6,0.156242615895728,0.062302632732146
fusion,22.7,0.127790168497207,0.0416903825302229
fusion,22.8,0.123362083432976,0.0153319166573699
fusion,22.9,0.202002870470371,0.0564540900704668
fusion,23,0.214323013600501,0.0396582333036157
fusion,23.1,0.298801403042664,0.120734463818108
fusion,23.2,0.421141438291746,-0.0689037029903643
fusion,23.3,0.32689542980488,-0.157751261272227
fusion,23.4,0.292165382462096,-0.217812904853391
fusion,23.5,0.255289881202033,-0.22868172443574
fusion,23.6,0.247725855363862,-0.261747584718805
fusion,23.7,0.201022850100977,-0.223615721917244
fusion,23.8,0.138370548478913,-0.207277989929524
