frame,calibration,variant,start,accepted,reason,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM,observableRank,matchedFraction,iterations,compatibility
1050,identity,geometricXY,2,1,accepted,0.0753455546012027,-0.133202148856977,-0.0586430430519966,0.0473069350070843,3,0.965909090909091,6,0.654700417743078
1050,identity,geometricXY,3,1,accepted,0.0753404051938068,-0.133129102588932,-0.0586486889377034,0.0472917322653284,3,0.965909090909091,5,0.654700578647177
1050,identity,geometricHeight,1,0,degenerateGeometry,0.459905313952205,-0.278612331653128,0.456398705327607,0.0566843856521434,2,0.954545454545455,8,0.574800970255955
1050,identity,geometricHeight,2,0,degenerateGeometry,0.458486286843695,-0.343565709320697,-0.453009736966302,0.0706530497391355,2,0.954545454545455,6,0.56978754346697
1050,identity,geometricHeight,3,1,accepted,0.0753404051938068,-0.133129102588932,-0.0586486889377034,0.0472917322653284,3,0.965909090909091,5,0.654700578647177
260,Mississippi260CurbPitchCandidate,densityXY,1,1,accepted,0.20154001666555,-0.751694816291201,0.0526379375043352,0.19454466287421,NaN,NaN,51,0.443241554347073
260,Mississippi260CurbPitchCandidate,densityXY,2,1,accepted,0.201540233977173,-0.751698354623006,0.0526367969930513,0.194545196583945,NaN,NaN,52,0.443241554346608
260,Mississippi260CurbPitchCandidate,densityXY,3,1,accepted,0.201540709185902,-0.7517010607353,0.0526372623053307,0.194545562982444,NaN,NaN,45,0.443241554346371
260,Mississippi260CurbPitchCandidate,geometricXY,1,1,accepted,0.140492040138497,-0.000526121653767262,-0.13421743252524,0.0415173957349169,3,1,7,0.865124149362899
260,Mississippi260CurbPitchCandidate,geometricXY,2,1,accepted,0.140493064887699,-0.000446110828191361,-0.134222677254512,0.0415039057459666,3,1,8,0.865124088314094
260,Mississippi260CurbPitchCandidate,geometricXY,3,1,accepted,0.140492292110739,-0.000501931197694319,-0.134218992289785,0.0415132057452067,3,1,7,0.865124127376446
260,Mississippi260CurbPitchCandidate,geometricHeight,1,1,accepted,0.140492040138497,-0.000526121653767262,-0.13421743252524,0.0415173957349169,3,1,7,0.865124149362899
260,Mississippi260CurbPitchCandidate,geometricHeight,2,1,accepted,0.140493064887699,-0.000446110828191361,-0.134222677254512,0.0415039057459666,3,1,8,0.865124088314094
260,Mississippi260CurbPitchCandidate,geometricHeight,3,1,accepted,0.140492292110739,-0.000501931197694319,-0.134218992289785,0.0415132057452067,3,1,7,0.865124127376446
550,Mississippi260CurbPitchCandidate,densityXY,1,0,searchBoundary,3.61720171984854,-0.493271942668117,3.61689344938615,-0.0472234884644116,NaN,NaN,37,0.414763323527253
550,Mississippi260CurbPitchCandidate,densityXY,2,0,searchBoundary,2.78218832849102,-0.489425014057834,2.78217935376706,0.00706672936560915,NaN,NaN,34,0.405802812414726
550,Mississippi260CurbPitchCandidate,densityXY,3,0,searchBoundary,3.19765949891703,-0.467769481157446,3.19755933624641,-0.025309330250866,NaN,NaN,29,0.411560100547639
550,Mississippi260CurbPitchCandidate,geometricXY,1,0,degenerateGeometry,0.537959040187838,-0.13052519536428,0.534594498694885,0.0600720474512463,2,0.988636363636364,8,0.519763558421703
550,Mississippi260CurbPitchCandidate,geometricXY,2,0,degenerateGeometry,0.538510563244184,-0.00647647582156153,-0.529076750811567,0.100356457072992,2,0.988636363636364,8,0.512433323875078
550,Mississippi260CurbPitchCandidate,geometricXY,3,0,degenerateGeometry,0.082137428517343,-0.0877391207366273,0.00312756352969482,0.0820778624831894,2,0.988636363636364,6,0.5187800469047
550,Mississippi260CurbPitchCandidate,geometricHeight,1,0,degenerateGeometry,0.537959040187838,-0.13052519536428,0.534594498694885,0.0600720474512463,2,0.988636363636364,8,0.519763558421703
