positionGain,velocityGain,accelerationGain,headingGain,positionRmseM,positionMaximumM,positionP95M,headingRmseDeg,certificateMargin,accuracyFeasible
6,4,12,1,0.158091208756165,0.878806612507013,0.274665235285286,0.429778512252265,2.80512110043002,0
8,4,12,1,0.157609487854541,0.882340489486269,0.27523655694263,0.429778512252265,3.760372517889,0
10,4,12,1,0.158272936196499,0.882234723544586,0.28095611215241,0.429778512252265,4.69126696390118,0
3,8,12,1,0.171186257398927,0.86452549482953,0.298020473677336,0.429778512252265,1.4310786850978,0
4,8,12,1,0.162635899258911,0.873904453853389,0.286293442279858,0.429778512252265,1.92862449961063,0
5,8,12,1,0.159122258661344,0.880852976077833,0.279275689251823,0.429778512252265,2.42598973332041,0
6,8,12,1,0.157736699358011,0.884655726297498,0.274021192338004,0.429778512252265,2.92315379080656,0
8,8,12,1,0.157418728329892,0.886887905159722,0.275473795128382,0.429778512252265,3.916779151044,0
10,8,12,1,0.158156494724844,0.886035551094899,0.280111290953666,0.429778512252265,4.90925801914629,0
3,1,4,2,0.196865051976358,0.82910513221487,0.303410569341564,0.45947983260375,0.64602694454847,0
4,1,4,2,0.178565148651338,0.845128000233096,0.289355177563467,0.45947983260375,0.90074875130661,0
5,1,4,2,0.169931305385629,0.856544721875856,0.283055660103691,0.45947983260375,1.09394614553746,0
6,1,4,2,0.165548922139461,0.863613813409574,0.280134128825982,0.45947983260375,1.23464573933885,1
8,1,4,2,0.162064475068486,0.87059104199869,0.279816183299691,0.45947983260375,1.4097554749903,0
10,1,4,2,0.16125851750232,0.87248163558669,0.284304407419434,0.45947983260375,1.50652828708265,0
3,4,4,2,0.172375032222958,0.854313752973294,0.292648205287844,0.45947983260375,1.34502797055511,0
4,4,4,2,0.163287431118196,0.866022737147114,0.283083093584968,0.45947983260375,1.83193034067646,0
5,4,4,2,0.159523717074778,0.874176123080174,0.276007806263845,0.45947983260375,2.31640734491138,0
6,4,4,2,0.158004749620525,0.878785333216329,0.271364023553892,0.45947983260375,2.79771928221003,0
8,4,4,2,0.157558616104565,0.882314015617301,0.274160967065236,0.45947983260375,3.74604090446557,0
10,4,4,2,0.158239694352198,0.88206870550256,0.280001365666095,0.45947983260375,4.65958499162002,0
3,8,4,2,0.1708028507522,0.863382854696599,0.291348542134865,0.45947983260375,1.4303853520595,0
4,8,4,2,0.16236345321718,0.873119681439504,0.281537488915029,0.45947983260375,1.92780095611331,0
5,8,4,2,0.15892065770395,0.880132379762751,0.275131907878097,0.45947983260375,2.42500169684221,0
6,8,4,2,0.157581620653245,0.883947638522345,0.272038063858654,0.45947983260375,2.92195463987618,0
8,8,4,2,0.157317865258138,0.886292732553655,0.274398142509506,0.45947983260375,3.91493466813953,0
10,8,4,2,0.158084382742081,0.885416343822817,0.279962255971302,0.45947983260375,4.90618157090467,0
3,1,12,2,0.196154083493054,0.828554634595875,0.307203282397094,0.45947983260375,0.696971154387085,0
4,1,12,2,0.178050725076919,0.844145223586072,0.292080815249173,0.45947983260375,0.97035882302811,0
5,1,12,2,0.169532393806441,0.855539412125955,0.286854295281786,0.45947983260375,1.18219239972191,0
