source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,temporalStability,weight,robustWeight,globalTarget,sourceXY_1,sourceXY_2,targetBodyXY_1,targetBodyXY_2,referenceDistanceM,detections,frameMask_1,frameMask_2,frameMask_3,frameMask_4,frameMask_5
33,70,curb,3.11819336860362,NaN,0.00172314115876086,1,0.00569117860472771,0.00379687575608295,731,14.937597695506,-2.56554448604353,14.0402000440997,-2.35269571638159,0.922294499330956,5,1,1,1,1,1
34,70,curb,0.0373096906430845,NaN,0.00172314115876086,1,0.0037775404277104,0.00375512402519735,731,14.9987386810332,-2.07201818595028,14.0402000440997,-2.35269571638159,0.998787362046275,5,1,1,1,1,1
35,70,curb,4.46553209466316,NaN,0.00172314115876086,0.6,0.00249125788244094,0.0014530647314295,731,16.9416363850032,-2.50984065346774,14.0402000440997,-2.35269571638159,2.90568879468664,3,1,0,0,1,1
36,70,curb,0.0833729051385484,NaN,0.00172314115876086,1,0.00327117354162828,0.00322811161467991,731,16.089562591352,-1.95059662928986,14.0402000440997,-2.35269571638159,2.08843734067383,5,1,1,1,1,1
37,70,curb,4.42816054014405,NaN,0.00172314115876086,0.8,0.00154262668485521,0.000902909892026686,731,18.6604087283126,-2.49092584448475,14.0402000440997,-2.35269571638159,4.62227604692667,4,1,0,1,1,1
38,75,curb,0.00785820437127108,NaN,0.00272072512547887,0.8,0.00221643798927987,0.00221365473307189,736,18.2521153468898,-1.89341914564775,24.2565935748213,-2.17726619004678,6.01118357183653,4,1,0,1,1,1
40,143,pole,0.0177524092038563,NaN,0.000308458534706898,0.4,0.050763266292991,0.0506194874362458,1085,-23.8552734534828,-2.96289927569373,-23.7010843600128,-3.31982487271951,0.388806067798983,2,1,1,0,0,0
42,148,pole,4.98815928156954,NaN,0.00032600971896668,0.4,0.0387555145948501,0.0215535267074435,1090,14.7082468644423,-10.365599623178,14.5893464121009,-10.2283078637053,0.181621432617687,2,1,1,0,0,0
43,173,trafficSign,0.51931958465201,NaN,0.000209650649820521,1,0.333333333333333,0.307761113547785,1300,10.6853470458189,-3.53799528172828,10.8435540232134,-4.04265567112645,0.528877638328392,5,1,1,1,1,1
44,61,curb,21.681104510164,NaN,0.000524631086834545,0.4,0.00303442956073978,0.000678998739477784,722,4.71922766403124,7.69580359739997,0.308330382899975,6.53187673043922,4.56187906200113,2,0,1,0,1,0
45,61,curb,8.5489535163964,NaN,0.000524631086834545,0.4,0.00302676279909246,0.0012782841349808,722,5.07723689075994,7.56947756749744,0.308330382899975,6.53187673043922,4.88047997411864,2,0,1,0,1,0
