mode,population,method,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost5cm,fractionAtMost10cm,headingRmseDeg
per_frame_positive,native_all,lidar_bias_legacy_steering,1170,0.131853903348465,0.0927319749752173,0.252600162671161,0.728544096081888,0.228205128205128,0.541880341880342,0.464366569711378
per_frame_positive,uniform_all,lidar_bias_legacy_steering,11690,0.132898730861741,0.0943898105623314,0.252339043393993,0.733492202449504,0.22420872540633,0.533019674935843,0.464052729983417
per_frame_positive,uniform_first60,lidar_bias_legacy_steering,6001,0.126391623245213,0.0759319878566228,0.246900712155122,0.733492202449504,0.322446258956841,0.634727545409098,0.397295362593743
per_frame_positive,uniform_after60,lidar_bias_legacy_steering,5689,0.139433981255877,0.110335600127073,0.255088571187615,0.410693644890811,0.120583582351907,0.425733872385305,0.52535682569563
per_frame_positive,native_full,steering_and_lidar_bias,1066,0.12068639719605,0.0863879662312919,0.232922647140133,0.727572011758904,0.24484052532833,0.573170731707317,0.452389008731909
per_frame_positive,native_all,steering_and_lidar_bias,1170,0.131817620192349,0.0926849324410729,0.252542853866744,0.727572011758904,0.227350427350427,0.541880341880342,0.464366569711378
per_frame_positive,uniform_all,steering_and_lidar_bias,11690,0.13286305692792,0.0944922088149707,0.252384024875528,0.732516638419013,0.223952095808383,0.533019674935843,0.464052729983417
per_frame_positive,uniform_first60,steering_and_lidar_bias,6001,0.126334320206276,0.0758320906312568,0.247192711086218,0.732516638419013,0.321946342276287,0.634727545409098,0.397295362593743
per_frame_positive,uniform_after60,steering_and_lidar_bias,5689,0.139418900567952,0.110297229805722,0.255052403095875,0.410711844936535,0.120583582351907,0.425733872385305,0.52535682569563
per_frame_negative,native_full,previous_observer,1069,0.157731664778132,0.110170731596994,0.308131651090695,0.73200885247349,0.116931711880262,0.441534144059869,0.4782113074724
per_frame_negative,native_all,previous_observer,1170,0.163867425711083,0.113502806520574,0.319556880254187,0.73200885247349,0.115384615384615,0.424786324786325,0.512632025195288
per_frame_negative,uniform_all,previous_observer,11690,0.16438092306412,0.114239865279276,0.320261580667333,0.732037365206365,0.114285714285714,0.417023096663815,0.513975560574284
per_frame_negative,uniform_first60,previous_observer,6001,0.163696528627191,0.10921299422706,0.319926360524902,0.732037365206365,0.109648391934678,0.444425929011831,0.493293131724312
