model,replicate,massKg,brakeGain
free_brake_gain,99,2028.8800383708437,0.5377948869443991
free_brake_gain,100,1977.460065906717,0.44616981032055886
free_brake_gain,101,2106.857521374862,0.6027846588240602
free_brake_gain,102,2296.201133568385,0.7329383934104352
free_brake_gain,103,2286.884443580566,0.7042905439791033
free_brake_gain,104,2127.0638023606734,0.5575119844610892
free_brake_gain,105,2081.8911819672335,0.5320438824783543
free_brake_gain,106,2327.1260572265187,0.7234980851539503
free_brake_gain,107,2153.757836432495,0.6379695331258797
free_brake_gain,108,2196.539281198109,0.6520240950330589
free_brake_gain,109,1302.4685507679899,7.791232875647005e-16
free_brake_gain,110,2089.290258084938,0.5210147209926822
free_brake_gain,111,778.326772687582,1.5663581426523294e-17
free_brake_gain,112,2124.392848598309,0.621627154785179
free_brake_gain,113,2373.1857489131585,0.7900291979179196
free_brake_gain,114,2330.897895761384,0.7547161366912937
free_brake_gain,115,2008.8126263479041,0.35693641243998603
free_brake_gain,116,2012.385768852044,0.3537711132282098
free_brake_gain,117,2136.590581851906,0.5690825349127732
free_brake_gain,118,2114.82546072888,0.6067419918442748
free_brake_gain,119,2189.8432436599505,0.6539764019370764
free_brake_gain,120,2262.429755023401,0.6894606050631075
free_brake_gain,121,2171.9626955039453,0.672356422319872
free_brake_gain,122,2136.079520827226,0.5153014343781909
free_brake_gain,123,2204.4735980103774,0.6200584999907138
free_brake_gain,124,2137.853183876768,0.5511502081710936
free_brake_gain,125,2104.5799567621766,0.6007790779965668
free_brake_gain,126,2037.455420792237,0.5622867993051942
free_brake_gain,127,2212.9023130762407,0.6672395033425231
free_brake_gain,128,2409.848325257542,0.8377809719515147
free_brake_gain,129,1911.6027928530282,0.3974644019647477
free_brake_gain,130,2319.335760052726,0.705878039783715
free_brake_gain,131,2238.3318709663836,0.674224743261444
free_brake_gain,132,2191.530011855893,0.7051631150219185
free_brake_gain,133,1771.170032363293,0.388890942407992
free_brake_gain,134,2278.367967465679,0.5749821071451013
free_brake_gain,135,1543.2673955606099,0.18648516184054523
free_brake_gain,136,2220.1995830613814,0.6866413874823765
free_brake_gain,137,2072.036069044428,0.5795344535274277
free_brake_gain,138,2113.8622708710523,0.6259974146974899
free_brake_gain,139,2366.47866766444,0.7494479108491924
free_brake_gain,140,2142.544102136658,0.6292270091824735
free_brake_gain,141,2173.0943845104,0.6569761931037963
free_brake_gain,142,2052.211928997622,0.5773061251519424
free_brake_gain,143,1228.9021626753106,7.909131939582487e-18
free_brake_gain,144,2035.009678097033,0.585626684028431
free_brake_gain,145,2025.44681364487,0.5674271912455822
free_brake_gain,146,2235.908745607088,0.6909587995488238
free_brake_gain,147,2300.2551700639533,0.6816383182450478
free_brake_gain,148,2243.1442807277713,0.6292725224797562
free_brake_gain,149,2292.9296145427325,0.7376513313675469
traction_only,0,2284.3531897523017,1.0
traction_only,1,2002.4540262677779,1.0
traction_only,2,2225.3669220169913,1.0
traction_only,3,2293.2090339190568,1.0
traction_only,4,1701.9406937731503,1.0
traction_only,5,1880.6950561459578,1.0
traction_only,6,940.253722997252,1.0
traction_only,7,2009.602410009259,1.0
traction_only,8,1978.811227373982,1.0
traction_only,9,2209.9039810476925,1.0
traction_only,10,1370.3074253474495,1.0
traction_only,11,2249.883827081765,1.0
traction_only,12,1874.6808070281575,1.0
traction_only,13,1768.930748851327,1.0
traction_only,14,1891.0588901154683,1.0
traction_only,15,1975.4790344127925,1.0
traction_only,16,2147.9018148174528,1.0
traction_only,17,1680.1678472104345,1.0
traction_only,18,2282.183616237205,1.0
traction_only,19,1993.886467272586,1.0
traction_only,20,2152.5543091010463,1.0
traction_only,21,1962.4613872080063,1.0
traction_only,22,1688.4032561542813,1.0
traction_only,23,2046.737536666,1.0
traction_only,24,2067.6198935115485,1.0
traction_only,25,2321.524495633045,1.0
traction_only,26,1614.6945885684122,1.0
traction_only,27,2064.2324554779702,1.0
