names,calls,total,self
repmat>checkSizesType,218,0.000426,0.000426
tabularDimension.tabularDimension>tabularDimension.checkReservedNamesImpl,184,0.000426,0.000426
prepareSemanticRegistration>hasHeight,30,0.000425,0.000425
buildFineColumnShapeScores>resolveFineShapeScoreLinearityPower,21,0.000413,0.000413
interp1>isScalarTextArg,618,0.000409,0.000409
mean>mysize,81,0.000386,0.000386
makeUniqueStrings>mustBeValidMaxStrLen,184,0.00038,0.00038
RedefinesDotParen.RedefinesDotParen>RedefinesDotParen.RedefinesDotParen,184,0.000331,0.000331
segmentGround>readOptionalUnitIntervalConfig,21,0.000371,0.000325
sortrows>canCallBuiltinHelper,147,0.000313,0.000313
errorIf,84,0.000213,0.000213
deg2rad,63,0.000207,0.000207
buildFineColumnShapeScores>resolvePositiveScalar,42,0.000193,0.000193
buildCoarseSemanticProbabilityCloud>@(item)item.numComponents,84,0.000175,0.000175
isduration,42,0.000146,0.000146
istabular,42,0.000126,0.000126
