queryFrame,fixedFrame,training,qualityPassed,rmseM,errorX,errorY,yawErrorRad,queryPoints,fixedPoints,referenceYawChangeDeg,overlap,medianDistanceM,correctedResidualM,qx,qy,qa,fx,fy,fa,mx,my,ma
41,26,1,0,1.09680418218167,-1.03434887778712,-0.262765794061124,-0.00308271853953412,27882,26875,-20.036511879842,0.543397173803888,0.26760939080799,0.31819960639066,484755.828960947,4976648.98098803,-1.49191068633805,484753.546917349,4976655.74549855,-1.14220758341985,484754.794612069,4976648.71822223,-1.49499340487759
41,31,1,1,0.751673076397885,-0.685294790717307,-0.124714256264269,-0.00182679864297719,27882,27118,-13.2646443886919,0.617136503837601,0.221918906021204,0.222062742914358,484755.828960947,4976648.98098803,-1.49191068633805,484754.578893835,4976653.55167225,-1.26039896764919,484755.143666157,4976648.85627377,-1.49373748498103
46,26,1,0,1.33302468659908,-1.38678342284402,-0.279600371606648,-0.00463931922402283,27824,26875,-26.363737175433,0.503450258769408,0.296824839095756,0.403169990140956,484756.049980002,4976646.72849705,-1.60234160026159,484753.546917349,4976655.74549855,-1.14220758341985,484754.663196579,4976646.44889668,-1.60698091948561
46,31,1,0,0.944673038525589,-1.03244737378554,-0.136843933723867,-0.0033162552636814,27824,27118,-19.5918696842829,0.575186889016676,0.24846326097017,0.312968520673654,484756.049980002,4976646.72849705,-1.60234160026159,484754.578893835,4976653.55167225,-1.26039896764919,484755.017532629,4976646.59165312,-1.60565785552527
46,36,1,1,0.739030518685522,-0.687306496547535,-0.0598291391506791,-0.00257688716631055,27824,27758,-12.9060694234261,0.636644623346751,0.213496891936112,0.206634262855967,484756.049980002,4976646.72849705,-1.60234160026159,484755.336742249,4976651.28122605,-1.37708819533184,484755.362673506,4976646.66866792,-1.6049184874279
51,31,1,0,1.15890960458955,-1.37999169586692,-0.105440423823893,-0.00558972225277921,27929,27118,-25.478091399371,0.533173403988686,0.275278926279668,0.370959966496131,484756.039990674,4976644.61399503,-1.70507554969226,484754.578893835,4976653.55167225,-1.26039896764919,484754.659998979,4976644.5085546,-1.71066527194504
51,36,1,0,0.932619339556732,-1.0262016748311,-0.0369314048439264,-0.00430609701750839,27929,27758,-18.7922911385142,0.59730029718214,0.234763744996299,0.276286829889849,484756.039990674,4976644.61399503,-1.70507554969226,484755.336742249,4976651.28122605,-1.37708819533184,484755.013789,4976644.57706362,-1.70938164670977
51,41,1,1,0.623500336855303,-0.677405212889425,0.00294808018952608,-0.00355074272803058,27929,27882,-12.2134470106792,0.656987360807763,0.206254756989071,0.175420891031619,484756.039990674,4976644.61399503,-1.70507554969226,484755.828960947,4976648.98098803,-1.49191068633805,484755.362585462,4976644.61694311,-1.70862629242029
56,36,1,0,1.06091995090466,-1.44608284230344,-0.00251638796180487,-0.00688946951626113,27938,27758,-23.7530849064713,0.56936788603336,0.251359972590904,0.210574597070929,484755.952705224,4976642.69872573,-1.79165773445553,484755.336742249,4976651.28122605,-1.37708819533184,484754.506622382,4976642.69620934,-1.79854720397179
56,41,1,1,0.738291235631861,-1.08903117687441,0.0356995072215796,-0.00646478951639673,27938,27882,-17.1742407786362,0.626709141670843,0.220162373622204,0.135698654298371,484755.952705224,4976642.69872573,-1.79165773445553,484755.828960947,4976648.98098803,-1.49191068633805,484754.863674048,4976642.73442523,-1.79812252397193
56,46,1,1,0.588718672778767,-0.741258794791065,0.0538822896778584,-0.0045466215079526,27938,27824,-10.8470154830451,0.680435249480994,0.192094677526593,0.0748207356974593,484755.952705224,4976642.69872573,-1.79165773445553,484756.049980002,4976646.72849705,-1.60234160026159,484755.21144643,4976642.75260802,-1.79620435596348
61,41,1,0,0.96060538347456,-1.82088132674107,0.157956800423563,-0.00812031121545376,27936,27882,-21.7993077137031,0.594107961053837,0.236580715227941,0.346633339838888,484756.088554653,4976640.92424448,-1.87238038059757,484755.828960947,4976648.98098803,-1.49191068633805,484754.267673327,4976641.08220129,-1.88050069181302
61,46,1,1,0.760273842309785,-1.47230153629789,0.166439739987254,-0.00664708875984155,27936,27824,-15.4720824181121,0.646907216494845,0.211726323098988,0.431501613987042,484756.088554653,4976640.92424448,-1.87238038059757,484756.049980002,4976646.72849705,-1.60234160026159,484754.616253117,4976641.09068422,-1.87902746935741
61,51,1,1,0.554332548629966,-1.13513448851882,0.148429702036083,-0.00424123046031077,27936,27929,-9.58586070302396,0.686461912943872,0.18902973830244,0.495221982408013,484756.088554653,4976640.92424448,-1.87238038059757,484756.039990674,4976644.61399503,-1.70507554969226,484754.953420165,4976641.07267419,-1.87662161105788
66,46,1,1,0.883877496549169,-2.06196132360492,0.298974039964378,-0.00781846527416463,28206,27824,-19.8820546191668,0.608274835141459,0.229947975308045,0.735233845679767,484755.98776287,4976639.24753684,-1.9493489154274,484756.049980002,4976646.72849705,-1.60234160026159,484753.925801546,4976639.54651088,-1.95716738070156
66,51,1,1,0.660252426494619,-1.72466862254078,0.273752423934639,-0.00628536641449173,28206,27929,-13.9958329040787,0.651776217825994,0.208695108492064,0.801233811905242,484755.98776287,4976639.24753684,-1.9493489154274,484756.039990674,4976644.61399503,-1.70507554969226,484754.263094247,4976639.52128927,-1.95563428184189
66,56,1,1,0.577288118492917,-1.30981389939552,0.23412468098104,-0.00317513037521588,28206,27938,-9.03503913612166,0.691235907253776,0.18771790710482,0.721701128780308,484755.98776287,4976639.24753684,-1.9493489154274,484755.952705224,4976642.69872573,-1.79165773445553,484754.67794897,4976639.48166152,-1.95252404580261
71,51,1,1,0.782143920078926,-1.92434976308141,0.386491183191538,-0.00835855179177347,28305,27929,-17.5837522465661,0.613142554319025,0.226311580379474,0.777660584976627,484755.420174869,4976637.6638863,-2.01196992124979,484756.039990674,4976644.61399503,-1.70507554969226,484753.495825106,4976638.05037749,-2.02032847304157
71,56,1,1,0.697934318729276,-1.51092697866261,0.339663157239556,-0.00601985821098694,28305,27938,-12.622958478609,0.653877406818583,0.203318920227488,0.699507553700581,484755.420174869,4976637.6638863,-2.01196992124979,484755.952705224,4976642.69872573,-1.79165773445553,484753.90924789,4976638.00354946,-2.01798977946078
