queryFrame,fixedFrame,training,qualityPassed,accepted,reason,errorX,errorY,yawErrorRad,similarity,matchedFraction,matches,correctedResidualM,qx,qy,qa,fx,fy,fa,mx,my,ma
66,46,1,1,1,accepted,-2.05548500403529,0.236559117212892,-0.00346163740816197,0.414107808714403,0.529411764705882,18,0.959788762121558,484755.98776287,4976639.24753684,-1.9493489154274,484756.049980002,4976646.72849705,-1.60234160026159,484753.932277866,4976639.48409596,-1.95281055283556
66,51,1,1,1,accepted,-1.72696906520287,0.257593384943902,-0.00511273688332547,0.482007272066585,0.529411764705882,18,0.964086601952361,484755.98776287,4976639.24753684,-1.9493489154274,484756.039990674,4976644.61399503,-1.70507554969226,484754.260793804,4976639.50513023,-1.95446165231072
66,56,1,1,1,accepted,-1.31813770718873,0.208505307324231,-0.00203414433313309,0.733577682268495,0.764705882352941,26,0.832820488615738,484755.98776287,4976639.24753684,-1.9493489154274,484755.952705224,4976642.69872573,-1.79165773445553,484754.669625162,4976639.45604215,-1.95138305976053
71,41,1,1,1,accepted,-2.62911900051404,0.350223996676505,-0.0112741982538287,0.369644091558873,0.390243902439024,16,0.985453249102407,484755.420174869,4976637.6638863,-2.01196992124979,484755.828960947,4976648.98098803,-1.49191068633805,484752.791055868,4976638.0141103,-2.02324411950362
71,46,1,1,1,accepted,-2.24095074919751,0.325524548999965,-0.00935033426122889,0.330771936572451,0.439024390243902,18,0.961868211167636,484755.420174869,4976637.6638863,-2.01196992124979,484756.049980002,4976646.72849705,-1.60234160026159,484753.179224119,4976637.98941085,-2.02132025551102
71,51,1,1,1,accepted,-1.92855281074299,0.315060367807746,-0.00930684673886217,0.406795404970709,0.439024390243902,18,0.982438619632269,484755.420174869,4976637.6638863,-2.01196992124979,484756.039990674,4976644.61399503,-1.70507554969226,484753.491622058,4976637.97894667,-2.02127676798865
71,56,1,1,1,accepted,-1.50899870647117,0.293677690438926,-0.00552075410026642,0.583281112581989,0.634146341463415,26,0.839704320889784,484755.420174869,4976637.6638863,-2.01196992124979,484755.952705224,4976642.69872573,-1.79165773445553,484753.911176162,4976637.95756399,-2.01749067535006
71,61,1,1,1,accepted,-0.775489674939308,0.190868672914803,-0.00625798702319091,0.634496165548087,0.658536585365854,27,0.358347489802394,484755.420174869,4976637.6638863,-2.01196992124979,484756.088554653,4976640.92424448,-1.87238038059757,484754.644685194,4976637.85475498,-2.01822790827298
76,46,1,1,1,accepted,-2.43153159017675,0.455323066562414,-0.0119943560695228,0.230748740365646,0.419354838709677,13,1.00711197672886,484754.769486228,4976636.14982719,-2.06222298827053,484756.049980002,4976646.72849705,-1.60234160026159,484752.337954638,4976636.60515026,-2.07421734434005
76,51,1,1,1,accepted,-2.07964018633356,0.410994738340378,-0.0122649571864235,0.328925564195877,0.483870967741935,15,0.990219630226354,484754.769486228,4976636.14982719,-2.06222298827053,484756.039990674,4976644.61399503,-1.70507554969226,484752.689846042,4976636.56082193,-2.07448794545695
